730,628,394,33.5
723,623,392,29
726,625,394,25.5
724.5,620,386,30.5
721.5,617,387,27
721,618,392,26.5
722,617,375,27
717,619,390.5,27
718,612,377,28
722,607,374,28
717.5,609,368,39
714,604.5,357.5,29
713,601,371,30
712,597,358,32.5
708,596,352,33
704,590,348,27.5
706,585,343,31
701,581.5,336,26
701,572,336,33
693,575,318,28
692,568,319.5,30
689,561,328,33
684,556,315,28
683,553,314,36
679,549.5,309.5,29.5
677.5,536,310,33
670,541.5,294.5,33
662,526,297,31
664,520,273,31
653.5,519,272.5,25
651,512,259,37
646,513,277,27.5
642.5,501,256,28
636,496,242.5,30
637,491,254,31.5
631,488,237,31
626,476,243,30
621,473.5,232.5,28
616,470.5,244,31
610,458,243,27
606,462,209.5,30.5
602,448,201.5,25
596,454,201,30
592,441,211,38
581,440.5,176.5,35
576.5,431,181,31
572,424,186,31
569,411,202.5,30
567.5,415,173,29
556,416,193,32.5
556,404,186,34
553,404,171,36
545,397,157,35
540,389.5,132,30
534,384,134,27.5
533.5,380,163,27
531,376,160.5,26
519,369,137.5,33
515,365,147,30
510,366.5,131,34
509,359,137.5,25.5
502.5,358,149,37
500,349.5,109.5,35
493,352,147,31
491,345,134,31
491,332,131,27
484,338.5,96,31
477,340,94,25
477.5,332,101,23
469,322,114,30.5
464,320.5,114,36
459,315,120.5,35
458.5,310,99,29
450,311,106.5,26
455,309,80,28
437,304,101,32
445,299,115.5,29
436,293,96,31.5
435,298,90.5,26
429,282.5,114,31
