750.32,583,428.85,55.636
712.63,664.85,488.83,78.125
714.36,676.15,462.92,55.538
760.8,655.8,454.47,82.692
743.35,649.5,512.97,83.857
714.93,649.84,456.35,56.364
749.68,687.34,456.57,37.563
756.17,679.07,345.42,51.588
738.55,690.47,478.81,59.81
754.7,645.02,463.2,65.81
758.85,674.65,439.58,117.27
739.02,689.19,429.3,65.882
689.1,676.5,375.64,55.389
741.46,665.45,390.94,58.412
721.82,640.2,386,48.364
744.38,633.04,410.76,55.333
717.91,609.65,415.22,61.625
747,597.29,418.93,73.438
745.23,666.25,417.77,75.125
743.48,632.38,379.03,79.875
721.19,592.71,316.79,60.75
687.78,613.83,387.04,52.421
709.57,536.26,280.08,91.429
680.15,613.52,362.88,67.5
703.24,564.98,289.39,63
709.53,615.87,330.27,53.625
725.54,606.1,351.23,56.75
683.21,543.44,303.29,50.111
674.47,552.02,336.45,46.846
705.98,623.74,320.69,43.8
673.79,565.27,284.48,49.455
693.87,540.6,259.72,59.467
695.56,551.24,278.94,42.938
670.85,566.51,231.91,54.19
640.81,523.12,267.75,78.609
668.1,592.33,253.97,60.35
648.15,492.84,258.36,60.722
622.02,485.5,257.93,92.118
653.29,543.09,281.82,49.429
662.92,467.36,281.78,50.857
627.52,476.65,239.15,67.591
648.38,450.88,229.29,45.45
651.66,483.6,260.96,47.737
626.46,469.91,220.08,40.353
621.43,502.03,249.24,63
651.36,449.03,273.03,58.167
600.13,458.19,191.43,45.526
583.74,416.94,257.17,35.962
561.49,436.44,216.08,60.792
580.66,458.53,213.68,40.926
558.35,404.17,195.2,64.7
583.77,393.85,234.04,71.84
567.23,415.45,184.93,32
545.68,419.69,164,74.087
588.21,396.59,147.36,49.235
556.88,465.33,179.26,59.333
524.37,376.62,196.17,57.722
488.95,383.81,158.89,41.632
552.82,420.34,162.55,49.667
507.23,391.86,168.13,44.75
499.91,323.89,148.64,63.182
457.25,382.26,142.53,43.429
528.58,307.68,145.21,48.5
525.23,350.94,185.89,62.391
501.43,343.81,193.46,58
472.11,311.58,168.78,48.286
463.1,350.23,138.33,55.211
449.09,325.38,114.64,56.273
465.77,330.62,167.66,32.692
473.7,350.52,187.04,54
478.77,334.45,162.32,52.182
445.46,255.87,130.63,61.263
449.71,222.38,140.7,46.471
488.15,269.93,133.56,50.235
473.17,323.93,162.14,42.15
407.71,290.59,121.16,71.545
473.58,296.5,125.1,43.923
388.6,257.17,161.46,52.864
410.76,294.76,133.46,37.55
428.02,270.21,160.86,47.533
