sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,1.38039674298495e-07,0.500000034488382,0.179,61.7597765363128,160,79,35,15,0.489,12.712,26,5,1,1
0.25,-2.0262443638929e-07,0.499999950111562,0.177,66.638418079096,151,98,39,16,0.517,13.555,31,5,2,1
0.5,-3.81821674103275e-07,0.499999909872531,0.178,60.0224719101124,149.7,85,34.5,15,0.507,12.439,26.5,5,2,1
0.75,-2.38953241599614e-08,0.49999999469363,0.174,61.0977011494253,168.1,79,30,17,0.511,12.363,26,5,2,1
1,5.4809042511252e-08,0.500000011324805,0.185,52.2648648648649,145,58.25,27,15.75,0.526,11.348,24,5,2,1
1.25,3.69287776850524e-07,0.500000070623066,0.179,62.0335195530726,165.6,87.25,41,19,0.51,12.768,31.5,5,2,1
1.5,5.07790136376479e-07,0.500000089741487,0.161,69.0745341614907,167.2,108,43,17,0.5,12.902,27,4.5,1.5,1
1.75,4.18684692767356e-07,0.500000068425737,0.17,59.4235294117647,141.5,81,38.5,15,0.508,11.775,26.5,4.5,2,1
2,-2.28082419144148e-07,0.499999965461962,0.174,55.0287356321839,143.4,74,32,17,0.513,11.356,28,5,2,1
2.25,2.14032491396182e-07,0.500000030109522,0.173,54.7109826589595,150.8,73,34,16,0.489,11.069,26,4,1,1
2.5,-4.63511274758473e-07,0.499999939244613,0.185,55.2054054054054,137,78,31,16,0.486,11.828,27.5,5,1,1
2.75,-3.08994257256622e-07,0.499999962146972,0.176,59.6761363636364,151.9,81,36,18,0.499,12.246,28,5,1,1
3,4.83066719564646e-07,0.500000055474924,0.196,52.1632653061224,133,71,31,16,0.511,11.833,30,5,2,1
3.25,-1.67916132637958e-07,0.499999981870241,0.188,54.218085106383,130.5,74,34,17,0.491,11.773,31,5,1,1
3.5,-8.00040662248177e-07,0.499999918560885,0.177,46.6271186440678,137,60,22,13,0.493,9.921,19.5,5,1,1
3.75,-6.84562719075779e-07,0.499999934128195,0.172,54.1627906976744,121.1,76,34,19,0.525,11.093,30.5,5,2,1
4,-1.75297582177935e-07,0.499999984015385,0.185,58.4918918918919,137,86,33,18,0.512,12.524,30,5,2,1
4.25,-2.12041886974599e-07,0.499999981634877,0.171,47.2046783625731,115.4,71.5,29,14,0.501,9.794,19.5,5,2,1
4.5,-1.10171853017505e-06,0.499999909170159,0.176,47.4715909090909,107.8,67.5,28,14.5,0.48,9.984,24.5,5,1,1
4.75,-5.84750617165742e-07,0.499999954017575,0.184,52.5923913043478,139.1,66,28,16,0.534,11.447,26,5,2,1
5,9.5805808453541e-07,0.500000071993854,0.202,52.9752475247525,134.9,72,31.5,15,0.529,12.413,33,6,2,1
5.25,-8.85092209662898e-08,0.499999993632932,0.177,56.225988700565,131.8,83,34,15.75,0.511,11.684,27,5,2,1
5.5,-1.25383900493791e-06,0.499999913512202,0.195,52.3794871794872,137,73,27,15,0.499,11.87,26.5,6,1,1
