sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-2.19822449366338,0.0999999686683782,0.457,688.908096280088,767,748,725,694.75,0.644,315.857,752,720,5,1
0.25,-2.22208011157881,0.0999999170409269,0.452,687.670353982301,764,748.5,725,698,0.635,311.754,751,721,3,1
0.5,-2.29498337208054,0.100000065138385,0.438,678.417808219178,770.7,748,723.5,690,0.626,298.173,750,714,3,1
0.75,-2.4112395851814,0.0999999754882107,0.466,683.989270386266,769,744,721.5,692,0.676,319.8,748,717,5,1
1,-2.56417843721694,0.100000068083494,0.481,680.528066528067,766,743,718,688,0.671,328.323,749,717,7,1
1.25,-2.74679219350925,0.100000069160836,0.457,680.805251641138,764,745,720,687,0.65,312.153,747,715.5,5,1
1.5,-2.95290397378453,0.0999999358949716,0.446,665.412556053812,761.9,739,714,682,0.627,297.766,743,708,4,1
1.75,-3.17754931336959,0.0999999691409473,0.46,693.330434782609,759,737,713,687,0.639,319.907,740.5,709,4,1
2,-3.41690080933837,0.100000004528358,0.47,670.63829787234,754,734,703.5,670,0.652,316.137,738,701,5,1
2.25,-3.6680350595417,0.0999999056472936,0.45,674.813333333333,748,731,705,674,0.648,304.689,734.5,700,4,1
2.5,-3.92870528281315,0.0999999485453567,0.473,673.737843551797,744.2,725,699,667.75,0.659,319.628,728.5,695,5,1
2.75,-4.19718070165764,0.0999999385705333,0.468,669.504273504274,744.7,722,694,664,0.664,314.339,728,692,5,1
3,-4.47210225922729,0.100000066619634,0.461,660.516268980477,743.4,723,697,663,0.64,305.458,728,693.5,4,1
3.25,-4.7524046647038,0.100000032924285,0.469,669.127931769723,741.6,719,694,664.75,0.676,314.861,722,691,6,1
3.5,-5.03723159933241,0.0999999026958098,0.454,641.544052863436,739,715,687,655,0.658,292.292,720,678.5,4,1
3.75,-5.32588583581845,0.100000001040861,0.441,662.655328798186,734.4,717,690,662,0.64,293.271,718.5,683,4,1
4,-5.61781233182578,0.100000040915944,0.454,661.270925110132,734,713,690,660,0.645,301.241,716,684,4,1
4.25,-5.91254964584775,0.100000061342839,0.453,643.147902869757,730,707,682,649,0.64,292.33,710,676,4,1
4.5,-6.209717325637,0.10000004855164,0.472,657.860169491525,735,713,684,655,0.655,311.455,718.5,682,5,1
4.75,-6.5089974157365,0.100000031363879,0.47,645.910638297872,728.5,705,684.5,651,0.664,304.563,710.5,680,5,1
5,-6.81012204586268,0.100000071803611,0.476,647.296218487395,728,707,678,651,0.661,309.095,712,675,6,1
5.25,-7.11286952039197,0.100000075889766,0.459,644.710239651416,721.6,701,675,650,0.662,296.925,705,671,4,1
5.5,-7.41705423379997,0.0999999002071252,0.441,648.054421768707,725,702.25,677,647.75,0.637,286.807,705,671,4,1
