x_logit_normal,pdf_logit_normal_mu_-1,pdf_logit_normal_mu_0,pdf_logit_normal_mu_1
0.564,0.665705918064937,0.804483945686787,0.757144418482553
0.565,0.665202816742593,0.80469385984199,0.758112530515622
0.566,0.664702488480817,0.804907159401521,0.759085429848822
0.567,0.664204924606623,0.805123850541913,0.760063141781523
0.568,0.66371011651959,0.805343939544417,0.761045691828048
0.569,0.663218055691363,0.805567432795501,0.762033105719779
0.57,0.662728733665168,0.805794336787349,0.763025409407289
0.571,0.662242142055317,0.806024658118378,0.764022629062507
0.572,0.66175827254673,0.806258403493755,0.765024791080903
0.573,0.661277116894456,0.806495579725933,0.766031922083701
0.574,0.660798666923197,0.806736193735188,0.767044048920125
0.575,0.66032291452684,0.806980252550169,0.768061198669668
0.576,0.65984985166799,0.807227763308462,0.769083398644388
0.577,0.659379470377507,0.80747873325715,0.770110676391241
0.578,0.658911762754049,0.807733169753404,0.771143059694434
0.579,0.658446720963618,0.807991080265059,0.772180576577812
0.58,0.657984337239109,0.808252472371222,0.773223255307279
0.581,0.657524603879862,0.808517353762873,0.774271124393238
0.582,0.657067513251224,0.808785732243493,0.775324212593078
0.583,0.656613057784104,0.80905761572968,0.776382548913677
0.584,0.656161229974539,0.8093330122518,0.777446162613949
0.585,0.655712022383265,0.809611929954628,0.778515083207415
0.586,0.655265427635284,0.809894377098013,0.779589340464813
0.587,0.654821438419441,0.810180362057545,0.780668964416736
0.588,0.654380047488003,0.810469893325237,0.78175398535631
0.589,0.653941247656236,0.810762979510218,0.782844433841901
0.59,0.653505031801994,0.811059629339434,0.783940340699858
0.591,0.653071392865305,0.811359851658362,0.785041737027295
0.592,0.652640323847962,0.811663655431738,0.786148654194906
0.593,0.652211817813116,0.811971049744289,0.787261123849817
0.594,0.651785867884873,0.81228204380148,0.788379177918473
0.595,0.651362467247894,0.812596646930279,0.789502848609568
0.596,0.650941609146998,0.812914868579922,0.790632168417006
0.597,0.650523286886765,0.813236718322695,0.791767170122911
0.598,0.650107493831147,0.813562205854733,0.792907886800662
0.599,0.649694223403077,0.813891340996822,0.794054351817985
0.6,0.649283469084082,0.814224133695219,0.795206598840069
0.601,0.648875224413899,0.814560594022482,0.796364661832736
0.602,0.648469482990094,0.814900732178313,0.797528575065645
0.603,0.648066238467682,0.815244558490414,0.798698373115545
0.604,0.647665484558748,0.815592083415353,0.799874090869562
0.605,0.647267215032078,0.81594331753945,0.801055763528541
0.606,0.64687142371278,0.816298271579665,0.802243426610425
0.607,0.646478104481917,0.816656956384507,0.803437115953677
0.608,0.646087251276138,0.817019382934957,0.804636867720759
0.609,0.645698858087313,0.817385562345399,0.805842718401647
0.61,0.645312918962167,0.817755505864567,0.807054704817395
0.611,0.644929428001918,0.818129224876507,0.808272864123755
0.612,0.644548379361916,0.818506730901553,0.809497233814833
0.613,0.644169767251286,0.818888035597312,0.810727851726808
0.614,0.643793585932572,0.819273150759673,0.81196475604169
0.615,0.643419829721374,0.81966208832382,0.813207985291138
0.616,0.643048492986006,0.820054860365264,0.814457578360325
0.617,0.642679570147132,0.820451479100894,0.815713574491856
0.618,0.642313055677423,0.820851956890034,0.816976013289743
0.619,0.641948944101204,0.821256306235523,0.818244934723432
0.62,0.641587229994107,0.821664539784806,0.819520379131883
0.621,0.641227907982723,0.822076670331044,0.820802387227715
0.622,0.640870972744256,0.82249271081423,0.822091000101398
0.623,0.64051641900618,0.82291267432234,0.82338625922551
0.624,0.640164241545893,0.823336574092477,0.824688206459049
0.625,0.639814435190374,0.823764423512048,0.825996884051808
0.626,0.639466994815844,0.824196236119954,0.827312334648811
0.627,0.639121915347421,0.824632025607787,0.82863460129481
0.628,0.638779191758782,0.825071805821062,0.829963727438843
0.629,0.638438819071823,0.825515590760447,0.83129975693886
0.63,0.638100792356317,0.825963394583021,0.832642734066412
0.631,0.637765106729578,0.826415231603553,0.83399270351141
0.632,0.637431757356122,0.826871116295786,0.83534971038694
0.633,0.637100739447328,0.827331063293749,0.836713800234163
0.634,0.636772048261101,0.827795087393087,0.838085019027274
0.635,0.636445679101531,0.828263203552404,0.839463413178529
0.636,0.636121627318563,0.82873542689463,0.840849029543355
0.637,0.635799888307649,0.829211772708403,0.842241915425525
0.638,0.635480457509418,0.829692256449472,0.843642118582409
0.639,0.635163330409335,0.830176893742122,0.845049687230299
0.64,0.634848502537364,0.830665700380614,0.846464670049818
0.641,0.634535969467625,0.831158692330647,0.847887116191398
0.642,0.634225726818061,0.831655885730841,0.849317075280842
0.643,0.633917770250093,0.832157296894242,0.850754597424969
0.644,0.633612095468284,0.832662942309843,0.852199733217337
0.645,0.633308698219995,0.833172838644131,0.853652533744052
0.646,0.633007574295042,0.833687002742652,0.855113050589662
0.647,0.632708719525355,0.8342054516316,0.856581335843137
0.648,0.632412129784636,0.834728202519427,0.858057442103937
0.649,0.632117800988007,0.835255272798475,0.859541422488169
0.65,0.631825729091671,0.835786680046633,0.86103333063484
0.651,0.63153591009256,0.83632244202901,0.862533220712195
0.652,0.631248340027984,0.836862576699642,0.864041147424152
0.653,0.630963014975286,0.837407102203214,0.865557166016841
0.654,0.630679931051483,0.837956036876806,0.867081332285224
0.655,0.630399084412914,0.83850939925167,0.868613702579833
0.656,0.630120471254884,0.839067208055028,0.870154333813597
0.657,0.629844087811306,0.839629482211889,0.871703283468773
0.658,0.629569930354335,0.840196240846901,0.873260609603986
0.659,0.629297995194013,0.840767503286222,0.874826370861376
0.66,0.629028278677897,0.841343289059422,0.876400626473846
0.661,0.628760777190692,0.841923617901405,0.877983436272432
0.662,0.628495487153881,0.842508509754363,0.879574860693771
0.663,0.628232405025353,0.843097984769756,0.8811749607877
0.664,0.627971527299022,0.843692063310317,0.882783798224955
0.665,0.627712850504447,0.84429076595209,0.884401435305002
0.666,0.627456371206455,0.844894113486489,0.886027934963981
0.667,0.627202086004746,0.845502126922395,0.887663360782777
0.668,0.626949991533506,0.846114827488272,0.889307776995208
0.669,0.626700084461016,0.84673223663432,0.890961248496358
0.67,0.626452361489248,0.847354376034657,0.892623840851017
0.671,0.626206819353467,0.847981267589528,0.894295620302272
0.672,0.62596345482182,0.848612933427547,0.895976653780222
0.673,0.625722264694932,0.849249395907972,0.897667008910835
0.674,0.625483245805483,0.849890677623008,0.89936675402494
0.675,0.625246395017793,0.850536801400148,0.901075958167369
