788,740.5,591.5,72.25
769.5,739,595.25,96
775.25,729,599,67.5
786.25,741.25,577.5,69.5
781.5,743.75,546,62
790.25,723.25,586.25,81
784,729.25,575.5,78.75
782.5,735.25,556.5,25
777,741,575,126.5
779.75,734.5,565,145.25
770.75,726.75,542.75,60.5
773,736,567.5,166
783.75,726,567.5,112
777,723.5,543,38
769,729.5,532,104.75
781.25,720.5,543.25,55.5
781.75,716,538,111
759,717.5,569.5,80
774,706,535,158.5
767,706,555,36
758.25,713.75,538,74.5
773,692.75,530.5,89
758.5,702.5,508,40.25
771,688,523,64.25
762.5,693.5,527.75,106.75
764,691,525.75,117
756.5,673.5,471.5,72.75
748,687,500.75,66.75
749.25,679,478,68.25
769,665.75,461.5,69.5
738,665.5,449.25,133
744,660,451,89
745,668,489,97.75
751.5,657.5,485,60.5
743.5,677.75,491,81.5
741.25,661,472,129
736,643.75,412,86.5
737,653.5,430.5,83.5
735,647,450,100
733.75,649.5,482,81.25
730,642.25,415.5,91.75
716.5,628.5,399.5,73.5
715,620.5,437.25,147
729,604,414.5,101.75
719,637,410.5,81.75
697.75,579,434.5,97
700.25,605,450.25,93.75
691,603,416.25,52
699,593.25,377,120
688,596,434.75,56.5
698.5,598.5,409.25,129
716,584.75,372.25,214.25
679,558,239.5,139.5
689.75,591.5,371.75,112
690.75,578.75,454.5,180.5
677,596,404.5,74
671.5,560.75,421,84
677,574,419.75,65
673.25,569.75,373.5,114.5
673,573.5,370,86
658.5,543.75,362.25,48.75
651.5,547,366,134
646,581,381,104.5
651.5,541.5,381.75,59
653,561,253,120.25
655,540.5,378.75,55.5
657.5,578,387.75,89.25
650.75,529,317,44
646,539.75,317.75,61
651,525.5,331.5,71
634.25,535,288.5,87
637.25,523,374.75,95
637,502.75,274.5,115
621.75,529.75,348.25,84
624.5,508,312.5,136
608.75,533,226.25,50.25
634,516.25,277,75
633.5,495.5,299.25,61
597.5,517.25,366.5,41.25
618,494,320,51
