sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-2.19822449366338,0.0999999686683782,0.457,630.667396061269,691,675,652,623,0.668,289.259,677.5,649,5,1
0.25,-2.22208011157881,0.0999999170409269,0.441,631.750566893424,700.4,678,651,626.75,0.638,279.654,680,644,4,1
0.5,-2.29498337208054,0.100000065138385,0.459,623.291938997821,697.6,678,653,629,0.657,287.154,682,648,5,1
0.75,-2.4112395851814,0.0999999754882107,0.45,621.482222222222,695,674,653,626,0.625,280.689,677,649,4,1
1,-2.56417843721694,0.100000068083494,0.453,626.529801324503,695.2,677,653,626,0.657,284.832,679.5,648,4,1
1.25,-2.74679219350925,0.100000069160836,0.442,611.190045248869,690.3,672,648,620,0.637,271.19,673,642,4,1
1.5,-2.95290397378453,0.0999999358949716,0.444,624.277027027027,694.1,674.5,651,628,0.611,278.155,677,646,4,1
1.75,-3.17754931336959,0.0999999691409473,0.471,620.766454352442,697,673,646,620,0.667,293.416,679,644,6,1
2,-3.41690080933837,0.100000004528358,0.457,628.446389496718,692.8,676,652,625.75,0.636,288.157,679,647,4,1
2.25,-3.6680350595417,0.0999999056472936,0.456,616.901315789474,697,678,652.5,624,0.645,282.314,682,648,5,1
2.5,-3.92870528281315,0.0999999485453567,0.458,627.021834061135,696,678,652,626,0.653,288.198,681,647,5,1
2.75,-4.19718070165764,0.0999999385705333,0.454,612.301762114537,693.1,675,654,622,0.632,278.998,679,647,4,1
3,-4.47210225922729,0.100000066619634,0.448,627.133928571429,695,679.5,652.5,626,0.653,282.013,682,648,4,1
3.25,-4.7524046647038,0.100000032924285,0.45,633.337777777778,691.5,675,652,625,0.65,286.035,677.5,646,4,1
3.5,-5.03723159933241,0.0999999026958098,0.48,623.716666666667,690,675,651,622,0.657,300.325,678,649,6,1
3.75,-5.32588583581845,0.100000001040861,0.462,622.25974025974,693,674,652,627,0.666,288.514,678,649,5,1
4,-5.61781233182578,0.100000040915944,0.45,627.133333333333,698,674,652,620,0.635,283.203,678,646,4,1
4.25,-5.91254964584775,0.100000061342839,0.485,619.723711340206,695,675,649,620,0.682,301.569,682,648,7,1
4.5,-6.209717325637,0.10000004855164,0.449,629.109131403118,696,678,654,628,0.658,283.556,680.5,649,5,1
4.75,-6.5089974157365,0.100000031363879,0.454,621.149779735683,691,674,650,621,0.637,283.052,678,644,5,1
5,-6.81012204586268,0.100000071803611,0.443,632.250564334086,695.2,674,650,624.25,0.629,281.061,678.5,645,3,1
5.25,-7.11286952039197,0.100000075889766,0.463,624.149028077754,693.2,678,651,626.25,0.642,289.992,681.5,648,5,1
5.5,-7.41705423379997,0.0999999002071252,0.463,626.727861771058,694.2,677,654,625,0.666,291.182,680,649.5,5,1
5.75,-7.72249954269305,0.0999999754796713,0.448,629.279017857143,697.7,679,653.5,625,0.655,282.996,681.5,647.5,4,1
6,-8.02907362889679,0.100000059291218,0.459,618.392156862745,699,678,649,619,0.634,284.833,681.5,642.5,5,1
6.25,-8.3366653862942,0.0999999047603115,0.451,619.578713968958,691.4,676,654,624,0.632,280.361,677,647.5,3,1
6.5,-8.64515213280936,0.100000019531546,0.437,625.940503432494,694.8,678,655,626.75,0.625,274.542,680.5,648,3,1
6.75,-8.95445851336831,0.0999999935296555,0.475,616.934736842105,695,672,651,622,0.654,293.956,677,648,5,1
7,-9.26449486081405,0.100000096466507,0.478,630.037656903766,700,682,658,626,0.662,302.137,685.5,655.5,6,1
7.25,-9.5752085654141,0.0999999217121983,0.459,623.75816993464,695,677,651,622,0.661,287.342,680,647,4.5,1
7.5,-9.88651655994502,0.0999999951918853,0.456,614.925438596491,692,673,650,620,0.653,281.453,676,646,5,1
7.75,-10.198378443316,0.0999999951438309,0.466,624.139484978541,696,678,650.5,620,0.65,291.831,681.5,646,5,1
8,-10.5107394799477,0.100000075668575,0.458,621.100436681223,694.7,676,653,623,0.642,285.496,679,648,5,1
8.25,-10.8235675568545,0.100000013190989,0.455,618.367032967033,696,675,647,619,0.642,282.331,678,642,4,1
8.5,-11.1368130390774,0.1000000557631,0.46,632.604347826087,694,677,654,629,0.624,291.906,680.5,650,4,1
8.75,-11.4504488447865,0.100000059972696,0.452,616.464601769911,694,677,653.5,623,0.658,279.685,680,646.5,4,1
9,-11.76444685451,0.0999999842772988,0.458,626.871179039301,697.7,680,654,626,0.643,288.091,683,650,4,1
9.25,-12.078775712189,0.0999999086959716,0.441,616.609977324263,694,678,652,625.75,0.627,272.919,680,647,3,1
9.5,-12.3934017754009,0.099999995439423,0.462,616.075757575758,694,675,650.5,619,0.659,285.669,678,647,5,1
9.75,-12.7083128821476,0.100000052521451,0.479,621.148225469729,691.6,672.75,650,625,0.676,298.544,678,649,7,1
10,-13.0234957238063,0.0999999625153695,0.462,612.952380952381,699,677,652,626,0.651,284.191,681,646.5,5,1
10.25,-13.3389153130176,0.100000015926582,0.451,623.483370288248,694.4,674,653,624,0.646,282.217,678,647,4,1
10.5,-13.6545655936296,0.100000027161374,0.433,623.651270207852,692,675,652,623,0.616,271.076,676.5,645,3.5,1
10.75,-13.9704257599252,0.100000088525077,0.446,619.5,696,676,650,623,0.65,277.303,678,643.5,4,1
11,-14.2864917996302,0.100000040519273,0.442,611.857466063348,691,676,654,620,0.63,271.483,677.5,647,4,1
11.25,-14.6027402487963,0.100000055164232,0.442,626.438914027149,696.3,678,655,626,0.647,277.939,680,648.5,4,1
11.5,-14.9191658798836,0.100000030938299,0.45,620.38,697.5,677,651,623,0.639,280.203,680,646,4,1
11.75,-15.2357588445951,0.0999999569930232,0.482,619.419087136929,694,675,651,623,0.651,299.482,680,648,6,1
12,-15.552495609833,0.10000003364665,0.481,625.322245322245,698.4,676,653,627.75,0.666,301.746,680,651,6,1
12.25,-15.8693850386703,0.0999999970783778,0.442,633.038461538462,696.3,674,650.5,623,0.629,280.812,678,645.5,4,1
12.5,-16.1864118849134,0.099999948833539,0.478,619.642259414226,692.7,676,653,625,0.659,297.176,679,651,7,1
12.75,-16.5035649562492,0.0999999360651881,0.437,617.192219679634,692,674,650,621.75,0.639,270.748,677,643,4,1
13,-16.8208396916493,0.0999999214139011,0.479,630.507306889353,694,675,655,626,0.659,302.932,679,653,5,1
13.25,-17.1382256458169,0.099999954385383,0.471,623.384288747346,696.4,677,654,626.25,0.657,294.572,681,651.5,5,1
13.5,-17.4557113804691,0.100000099834865,0.457,623.494529540481,693,674,651,622,0.648,285.938,677,645,4,1
13.75,-17.7733187312966,0.100000002449329,0.473,616.570824524313,693,676,649,621.75,0.649,292.578,679.5,647,5.5,1
14,-18.0910222438582,0.0999999247277561,0.46,630.691304347826,698,676,653.5,626.5,0.654,291.144,680,649,5,1
14.25,-18.4088104076332,0.0999999451564097,0.482,628.122406639004,698,676,651,628,0.664,303.738,682,650,7,1
14.5,-18.7266848504908,0.0999999831211762,0.477,626.947589098532,698.8,677.25,654,629,0.657,299.991,683.5,651.5,5,1
14.75,-19.0446427939667,0.100000019053791,0.434,632.541474654378,697,675,651,627,0.628,275.615,677.5,645,4,1
15,-19.362679471552,0.10000006104554,0.472,628.239406779661,701.6,678,656,627,0.627,297.387,684,652,4.5,1
15.25,-19.6807974178924,0.10000003620193,0.465,629.713978494624,692,675,651,622.75,0.642,293.854,677,647.5,5.5,1
15.5,-19.9989821401002,0.100000070455839,0.446,619.325112107623,694,671,649.5,622,0.658,277.299,672.5,643,4,1
15.75,-20.3172475496476,0.0999999698708307,0.447,632.610738255034,698,676.75,654,627,0.635,283.795,681.5,648,4,1
16,-20.6355577600231,0.100000097458247,0.442,619.368778280543,694.3,675,650,623,0.633,274.766,677,644,4,1
16.25,-20.9539488282478,0.100000023996434,0.473,630.570824524313,695,676.25,655,625.75,0.65,299.178,681.5,652,5,1
16.5,-21.272391282723,0.100000040637646,0.455,611.892307692308,693,673,650,622.25,0.632,279.375,678,645,4,1
16.75,-21.5908954195161,0.100000008797846,0.482,623.717842323651,695,678,651,624,0.672,301.616,683,648,6.5,1
17,-21.9094559455179,0.0999999595310533,0.459,630.958605664488,697,680,653,626,0.645,290.578,684,649.5,4,1
17.25,-22.2280518165685,0.100000082906034,0.451,628.279379157428,697,676,654,627,0.636,284.364,679,648.5,4,1
17.5,-22.5467086820513,0.100000093766721,0.466,621.467811158798,697,675,649,624,0.639,290.567,679,645,5,1
17.75,-22.8654220149735,0.100000020872096,0.459,622.320261437908,693.6,674,651,625.25,0.652,286.646,677,648,4,1
18,-23.1841844365226,0.099999920166657,0.445,625.629213483146,697,678.25,657,629,0.626,279.404,681,651,4,1
18.25,-23.5029809692677,0.0999999182877386,0.463,609.051835853132,689.2,674,644,616.25,0.65,282.958,676,641,4,1
18.5,-23.821811565324,0.0999999950702743,0.452,627.933628318584,692,674,651,620.5,0.655,284.882,678.5,644,4.5,1
18.75,-24.1406900874605,0.100000002672464,0.472,621.103813559322,695,673,648,624.5,0.665,294.185,677.5,645,6,1
19,-24.4596165476943,0.0999999291173697,0.452,616.128318584071,695,679,655,622,0.639,279.509,681.5,647.5,4,1
