sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-0.847797601276031,0.2999999777669,0.328,283.286585365854,407,380,340,239,0.582,94.288,372.5,225,2,1
0.25,-0.859636686346288,0.299999974819951,0.349,278.89111747851,403,377.25,335,234.75,0.587,98.588,371,262,2,1
0.5,-0.894952810387978,0.300000056757008,0.322,280.260869565217,418.3,375,335,225,0.603,91.681,365,172.5,2,1
0.75,-0.949290013276179,0.299999998920476,0.315,288.809523809524,413,387.75,342,244.25,0.573,92.33,376.5,147.5,2,1
1,-1.01838977256094,0.300000037337227,0.348,278.364942528736,417.7,379.5,334,193,0.595,98.186,374,229.5,3,1
1.25,-1.09873152815448,0.300000024342057,0.312,281.060897435897,413.6,382,337,218.5,0.566,89.013,370,118.5,2,1
1.5,-1.18767804310995,0.300000038705674,0.339,283.501474926254,418.6,390,339,231.5,0.585,97.398,381.5,246,2,1
1.75,-1.28330752156789,0.299999962910721,0.347,280.383285302594,414.8,383,333,222.75,0.586,98.511,375,253,2,1
2,-1.38421051879729,0.300000067354884,0.36,283.052777777778,417.5,389.5,343.5,216,0.602,103.2,384,286,3,1
2.25,-1.48934271202609,0.300000081824624,0.361,276.038781163435,416.8,379.25,333,205,0.622,100.961,374.5,270.5,3,1
2.5,-1.59791298271366,0.299999955375408,0.348,286.051724137931,414.7,389,339.5,240.5,0.599,100.925,383.5,268,2,1
2.75,-1.70930968755629,0.299999937007793,0.305,277.114754098361,419,386,330,224.5,0.581,85.936,367,40,2,1
3,-1.82305621636334,0.299999999911628,0.336,282.104166666667,413.9,383,334,214.5,0.586,96.148,371,226,2,1
3.25,-1.93877630820964,0.299999973720045,0.353,284.354107648725,418.2,387.25,335,221,0.598,101.688,381.5,260.5,3,1
3.5,-2.05616585081437,0.299999949796739,0.336,280.982142857143,413,375.5,333,240.5,0.587,95.746,369,245.5,2,1
3.75,-2.17497883449711,0.29999993436098,0.334,275.721556886228,410.1,374,331.5,209,0.588,93.439,368,211.5,2,1
4,-2.29501332831435,0.2999999730163,0.33,279.3,413,385,345.5,201,0.581,93.543,380,161,2,1
4.25,-2.41610507208281,0.299999908360468,0.333,285.303303303303,412.2,380,330,246.5,0.597,96.385,368.5,246,2,1
4.5,-2.53811362930175,0.299999907211,0.322,277.552795031056,420.3,381,334.5,200,0.576,90.67,371.5,109,2,1
4.75,-2.66092135027484,0.300000080490184,0.358,276.368715083799,414.7,381,330.5,205,0.571,100.103,375,266.5,2,1
5,-2.78443544016408,0.300000080514089,0.352,280.585227272727,414,383,338.5,242.5,0.589,100.012,381,268,2,1
5.25,-2.90857076865722,0.300000066513082,0.337,284.308605341246,413,384,337,249,0.574,97.085,376,256,2,1
5.5,-3.03325841642495,0.29999992896899,0.329,274.373860182371,412,381,329,183,0.583,91.617,372.5,166,2,1
5.75,-3.1584315725519,0.300000035080376,0.348,286.568965517241,418.7,392,344.5,235,0.615,101.091,383.5,258.5,3,1
6,-3.28404510799207,0.299999957500414,0.349,272.057306590258,410,377,332,188.25,0.611,96.319,371,236,3,1
6.25,-3.41004762271001,0.300000041959335,0.325,287.264615384615,414,385.25,344,237,0.568,94.661,375,222.5,2,1
6.5,-3.53640406434544,0.300000046351324,0.333,279.057057057057,410.4,382.25,330,214.5,0.58,94.201,375,214,2,1
6.75,-3.66308097489039,0.299999930965875,0.357,276.577030812325,409.6,379.5,340,200.75,0.588,99.973,374,262.5,2,1
7,-3.79004135906055,0.300000035584507,0.315,280.193650793651,412,384.25,328,231,0.597,89.721,369,127.5,2,1
7.25,-3.9172657510853,0.3000000085296,0.331,291.73413897281,419.8,383,342,256.5,0.569,97.878,374,252,2,1
7.5,-4.04472605925944,0.300000071042549,0.361,279.720221606648,412,384.25,334,214.25,0.6,102.225,378,260,2,1
7.75,-4.1724068526913,0.299999980818439,0.371,268.285714285714,405,377.75,326,170.5,0.629,100.805,371,268.5,3,1
8,-4.30028477609252,0.299999958166213,0.334,291.595808383234,422,385,344,255,0.597,98.782,376.5,255,2,1
8.25,-4.42834384479429,0.299999976913374,0.312,289.221153846154,412.3,383,337,261,0.565,91.588,374.5,185,2,1
8.5,-4.5565696493528,0.300000020501446,0.322,279.847826086957,410,379,330,239,0.566,91.415,370,189.5,2,1
8.75,-4.68495168507043,0.299999981432632,0.359,271.980501392758,407,377.75,334,204.75,0.605,98.889,373,250.5,3,1
9,-4.81347369241327,0.300000032158554,0.347,285.746397694524,425,390.75,338,235.5,0.614,100.5,381.5,260.5,3,1
9.25,-4.94212881335158,0.300000023572744,0.343,273.405247813411,418,382,329,188.25,0.596,95.137,371.5,228,3,1
9.5,-5.07090870306127,0.299999912287133,0.339,278,418,380,331,213.5,0.578,95.577,373.5,229,2,1
9.75,-5.19979611578108,0.300000003331891,0.322,280.88198757764,407,377,334.5,251,0.558,91.739,365.5,191.5,2,1
10,-5.32879335179822,0.299999931127159,0.332,295.575301204819,418,389,343,266.5,0.557,99.374,380,266,2,1
10.25,-5.45788452909551,0.29999999607161,0.339,286.725663716814,419.6,380,337,240.25,0.609,98.555,372,255,2,1
10.5,-5.58706615343553,0.300000087444248,0.338,277.979289940828,416.7,382,328,216,0.573,95.231,375.5,229.5,2,1
10.75,-5.71633801166344,0.300000018118716,0.335,281.964179104478,405,378,334,248.75,0.578,95.768,369,252,2,1
11,-5.84568754519523,0.300000018552642,0.338,269.822485207101,409.7,374,326.5,210,0.573,92.463,365,216.5,2,1
11.25,-5.97511486082357,0.299999926789571,0.344,280.883720930233,408.4,381.5,331.5,227.5,0.601,97.901,373,255,2,1
11.5,-6.10460800418385,0.299999967177115,0.342,278.87134502924,415.3,386,337,216,0.57,96.643,378,230,2,1
11.75,-6.23416866183651,0.299999957351271,0.32,279.10625,414,384,330.5,228.5,0.585,90.691,372,161,2,1
12,-6.36379078030844,0.299999961178717,0.327,277.532110091743,411,383.75,334,215.75,0.558,92.002,379,188.5,2,1
12.25,-6.49347001706797,0.299999997915661,0.329,264.990881458967,408.6,375,319,145.25,0.598,88.473,367,86,2,1
12.5,-6.62320557467771,0.299999995294342,0.359,274.100278551532,406,379,327,218.5,0.611,99.715,372.5,263,3,1
12.75,-6.75299364891237,0.299999974529574,0.331,282.939577039275,416,381,331,257.25,0.571,95.028,371,250.5,2,1
13,-6.88282971804541,0.299999980263042,0.353,295.212464589235,419,390,349,255.75,0.598,105.465,386,279,2,1
13.25,-7.01271175604773,0.299999994323372,0.307,275.687296416938,407,378.75,332,216.5,0.567,86.02,360.5,40.5,2,1
13.5,-7.14264100397635,0.29999992128184,0.365,270.794520547945,411,379.25,333,135.75,0.596,100.043,374.5,263.5,2,1
13.75,-7.27260757867516,0.29999995574795,0.327,273.935779816514,412,381.5,327,196,0.58,90.876,370,182,2,1
14,-7.40260951906139,0.300000087428673,0.33,274.863636363636,414.5,379,332.5,209,0.593,92.062,366.5,206,2,1
