Eff_vals_pdf,dt_0wk_conv,dt_5wk_conv,dt_10wk_conv,dt_15wk_conv,dt_20wk_conv,dt_25wk_conv,dt_30wk_conv,dt_35wk_conv,dt_40wk_conv,dt_45wk_conv,dt_50wk_conv
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.001,2.57644755023955e-07,9.44285916545792e-07,3.43129577794734e-06,1.19306843518466e-05,3.96940225645113e-05,0.000126368091115232,0.000384948201284683,0.00112206940469028,0.00312960627011487,0.00835241841584514,0.0213298272359963
0.002,2.82778448452906e-06,9.38438241869203e-06,3.07147175425783e-05,9.61922118364122e-05,0.000288260975943855,0.000826578968441471,0.00226796007798803,0.0059544138590203,0.0149587458853798,0.0359586939051769,0.0827113652958486
0.003,1.02594151793465e-05,3.21179309914997e-05,9.88771069366687e-05,0.000291270497459073,0.000821012559395913,0.00221439789796803,0.00571497160320317,0.014113185492548,0.0333494425513074,0.0754057848779607,0.163144826775409
0.004,2.43490410649795e-05,7.31267312075962e-05,0.000215544753029959,0.000607926824016191,0.00164065669163085,0.00423678746368802,0.0104690723006224,0.0247532527501469,0.0560026928316694,0.121237814908824,0.25114228839834
0.005,4.62696392663104e-05,0.000134545511915539,0.000383412176388063,0.00104547858942637,0.00272782774255811,0.00681037924964367,0.016269649946991,0.0371909846902673,0.0813485285873634,0.170260648502787,0.340981974336255
0.006,7.67640755167563e-05,0.000217394975717307,0.000602632072746385,0.00159848121513995,0.00405709697727751,0.00985316594667284,0.022897536614241,0.0509160006777951,0.108335891516046,0.220568249274407,0.429700824573775
0.007,0.000116281598522519,0.000322014422185878,0.000872021300640619,0.00225959924211245,0.00560258306070744,0.0132922268298359,0.0301758658489126,0.0655502410948223,0.136251534753451,0.270994869590128,0.515742939947012
0.008,0.000165068994650382,0.000448319916741767,0.00118970081701247,0.0030209256954837,0.00733998011170452,0.0170648423151962,0.0379631492706671,0.0808117928796467,0.164603781461673,0.320817042302875,0.5983118572242
0.009,0.000223231851958493,0.000595963094420747,0.00155345007364433,0.0038746081717747,0.00924721247626276,0.0211176914333392,0.0461460571309375,0.0964884468146239,0.193049458711545,0.369585068802324,0.677037623097997
0.01,0.000290776452504183,0.000764431619384563,0.00196090901940627,0.00481314341286386,0.0113045353619,0.0254055843087176,0.0546333983148593,0.112419021158561,0.22134715289784,0.417023604140304,0.751795792938283
0.011,0.00036763894028755,0.000953114187684173,0.00240969495165398,0.00582950605590114,0.0134944132049749,0.0298901990620895,0.0633513927259834,0.12848016420864,0.249326566067971,0.462970783171665,0.822604669397504
0.012,0.000453705963646716,0.00116134330607074,0.00289747006929568,0.00691719234743678,0.0158013176173427,0.034538964241033,0.0722400226102699,0.144576928237397,0.276867940236133,0.507339764332451,0.889565010619812
