Eff_vals_pdf,dt_0wk_conv,dt_10wk_conv,dt_30wk_conv,dt_50wk_conv
0,NaN,NaN,NaN,NaN
0.001,2.57644755023955e-07,3.53943796937889e-06,0.000393888995503524,0.0216752831819174
0.002,2.82778448452906e-06,3.1527027346374e-05,0.00231084065001709,0.0837545412327641
0.003,1.02594151793465e-05,0.000101219145621881,0.00580973513923332,0.164892685316185
0.004,2.43490410649795e-05,0.00022024754456372,0.0106263237810971,0.253516601428088
0.005,4.62696392663104e-05,0.000391241558415155,0.0164951494980571,0.343889505124757
0.006,7.67640755167563e-05,0.000614269522440556,0.023193933012933,0.433053167452677
0.007,0.000116281598522519,0.000888063109301539,0.0305437984102328,0.519461840804693
0.008,0.000165068994650382,0.00121066388988578,0.0384019517302179,0.602329863615475
0.009,0.000223231851958493,0.00157977980817627,0.0466542158329125,0.68129722509122
0.01,0.000290776452504183,0.00199298742355016,0.0552088561928628,0.756248160677421
0.011,0.00036763894028755,0.00244784827126615,0.0639917542410013,0.827208383761112
0.012,0.000453705963646716,0.0029419756684785,0.0729426936311407,0.894284920279021
0.013,0.000548829489485347,0.00347307216132442,0.0820125066816327,0.957630028302758
0.014,0.000652837558634517,0.0040389492576681,0.0911608718131505,1.01741920936702
0.015,0.000765542167192072,0.00463753636029273,0.100354601630355,1.07383769567089
0.016,0.000886745082779523,0.00526688310430819,0.10956630191623,1.12707214870383
0.017,0.00101624215781894,0.00592515770156809,0.118773312779069,1.17730561717255
0.018,0.00115382653665757,0.0066106429254932,0.127956866070479,1.22471455878483
0.019,0.00129929104070378,0.0073217307703292,0.137101409919631,1.26946717912798
0.02,0.00145242993767148,0.0080569164418194,0.146194063449533,1.31172261342782
0.021,0.00161304024612639,0.00881479209574287,0.155224173704901,1.35163064601748
0.022,0.00178092268738859,0.00959404058564791,0.164182953437668,1.38933176909464
0.023,0.00195588236860086,0.0103934293802929,0.173063183316151,1.4249574508063
0.024,0.00213772926015928,0.0112118047454886,0.181858965811495,1.4586305271877
0.025,0.00232627851550622,0.0120480862420332,0.190565520800795,1.49046566170971
0.026,0.00252135066997801,0.0129012615634437,0.199179015047557,1.52056983556557
0.027,0.00272277174691372,0.0137703817191448,0.207696419347718,1.54904284475986
0.028,0.00293037329281439,0.0146545565573593,0.216115388387401,1.57597778873641
0.029,0.00314399235845486,0.0155529506149458,0.224434159337755,1.60146154111099
0.03,0.00336347143910447,0.0164647792773835,0.232651465979545,1.62557519699209
0.031,0.00358865838412532,0.0173893052300098,0.24076646575522,1.64839449399448
0.032,0.0038194062839784,0.0183258351808167,0.248778677626318,1.66999020579103
0.033,0.00405557334092566,0.019273716835147,0.256687928997182,1.69042850818678
0.034,0.0042970227283527,0.0202323361031928,0.264494310273376,1.70977131842724
0.035,0.00454362244256771,0.0212011145220796,0.272198135871133,1.72807660889936
0.036,0.00479524515008919,0.022179506875379,0.279799910695156,1.74539869663939
0.037,0.00505176803276984,0.0231669989940389,0.28730030126575,1.76178851018838
0.038,0.00531307263257776,0.0241631057238805,0.294700110810172,1.77729383537606
0.039,0.00557904469743732,0.0251673690459629,0.302000257743045,1.79195954159738
0.04,0.0058495740292015,0.026179356337214,0.309201757051435,1.80582779009383
0.041,0.00612455433456293,0.0271986587597718,0.316305704175289,1.8189382256769
0.042,0.00640388307950168,0.0282248897684571,0.323313261036375,1.83132815324503
0.043,0.00668746134770102,0.029257683726703,0.330225643920934,1.84303270035335
0.044,0.00697519370323038,0.0302966946221036,0.33704411296481,1.85408496700257
0.045,0.00726698805768998,0.0313415948735146,0.343769963026425,1.86451616372231
0.046,0.00756275554192856,0.0323920742223373,0.350404515763744,1.87435573893669
0.047,0.00786241038238122,0.0334478387012652,0.356949112757394,1.88363149651733
0.048,0.00816586978202299,0.0345086096743517,0.363405109544137,1.89236970435159
0.049,0.00847305380589482,0.0355741229427969,0.369773870443593,1.90059519468196
0.05,0.00878388527112796,0.0366441279113308,0.376056764077034,1.90833145690647
0.051,0.00909828964137064,0.0377183868105123,0.382255159490675,1.91560072346892
0.052,0.00941619492550283,0.0387966739706675,0.388370422807499,1.92242404941228
0.053,0.00973753158051414,0.0398787751435479,0.394403914341629,1.92882138611754
0.054,0.0100622324184104,0.0409644868681261,0.400356986117837,1.9348116497042
0.055,0.0103902325170097,0.0420536158772433,0.406230979746129,1.94041278452624
0.056,0.0107214691344853,0.0431459785420972,0.412027224607735,1.94564182215916
0.057,0.011055881627513,0.0442414003518082,0.417747036314329,1.95051493623906
0.058,0.0113934113728795,0.0453397154255259,0.42339171540705,1.9550474934828
0.059,0.0117340016924098,0.0464407660547474,0.428962546266047,1.95925410118992
