sig_vals,mu_vals,Eff_vals
0.05,-0.847797601276031,0.2999999777669
0.25,-0.859636686346288,0.299999974819951
0.5,-0.894952810387978,0.300000056757008
0.75,-0.949290013276179,0.299999998920476
1,-1.01838977256094,0.300000037337227
1.25,-1.09873152815448,0.300000024342057
1.5,-1.18767804310995,0.300000038705674
1.75,-1.28330752156789,0.299999962910721
2,-1.38421051879729,0.300000067354884
2.25,-1.48934271202609,0.300000081824624
2.5,-1.59791298271366,0.299999955375408
2.75,-1.70930968755629,0.299999937007793
3,-1.82305621636334,0.299999999911628
3.25,-1.93877630820964,0.299999973720045
3.5,-2.05616585081437,0.299999949796739
3.75,-2.17497883449711,0.29999993436098
4,-2.29501332831435,0.2999999730163
4.25,-2.41610507208281,0.299999908360468
4.5,-2.53811362930175,0.299999907211
4.75,-2.66092135027484,0.300000080490184
5,-2.78443544016408,0.300000080514089
5.25,-2.90857076865722,0.300000066513082
5.5,-3.03325841642495,0.29999992896899
5.75,-3.1584315725519,0.300000035080376
6,-3.28404510799207,0.299999957500414
6.25,-3.41004762271001,0.300000041959335
6.5,-3.53640406434544,0.300000046351324
6.75,-3.66308097489039,0.299999930965875
7,-3.79004135906055,0.300000035584507
7.25,-3.9172657510853,0.3000000085296
7.5,-4.04472605925944,0.300000071042549
7.75,-4.1724068526913,0.299999980818439
8,-4.30028477609252,0.299999958166213
8.25,-4.42834384479429,0.299999976913374
8.5,-4.5565696493528,0.300000020501446
8.75,-4.68495168507043,0.299999981432632
9,-4.81347369241327,0.300000032158554
9.25,-4.94212881335158,0.300000023572744
9.5,-5.07090870306127,0.299999912287133
9.75,-5.19979611578108,0.300000003331891
10,-5.32879335179822,0.299999931127159
10.25,-5.45788452909551,0.29999999607161
10.5,-5.58706615343553,0.300000087444248
10.75,-5.71633801166344,0.300000018118716
11,-5.84568754519523,0.300000018552642
11.25,-5.97511486082357,0.299999926789571
11.5,-6.10460800418385,0.299999967177115
11.75,-6.23416866183651,0.299999957351271
12,-6.36379078030844,0.299999961178717
12.25,-6.49347001706797,0.299999997915661
12.5,-6.62320557467771,0.299999995294342
12.75,-6.75299364891237,0.299999974529574
13,-6.88282971804541,0.299999980263042
13.25,-7.01271175604773,0.299999994323372
13.5,-7.14264100397635,0.29999992128184
13.75,-7.27260757867516,0.29999995574795
14,-7.40260951906139,0.300000087428673
14.25,-7.53265519062189,0.300000060284887
14.5,-7.66273608533792,0.300000040313672
14.75,-7.79285486091869,0.299999924041843
15,-7.92299943380387,0.299999956616462
15.25,-8.05317521510976,0.299999973588396
15.5,-8.18338127585228,0.299999964360126
15.75,-8.3136133211288,0.299999994753472
16,-8.44387216246712,0.300000018027825
16.25,-8.57415949758168,0.299999973045164
16.5,-8.70447158771916,0.299999917672278
16.75,-8.83479835823035,0.300000038462625
17,-8.96515208794243,0.30000005773187
17.25,-9.09553527002637,0.299999911004772
17.5,-9.22592219119119,0.300000095924244
17.75,-9.35634100748915,0.300000033570091
18,-9.48677834598024,0.299999975891683
18.25,-9.61722747634409,0.300000036040221
18.5,-9.74769615349069,0.300000050905243
18.75,-9.87818964495703,0.299999912589495
19,-10.0086871687745,0.299999994004663
19.25,-10.1391995483515,0.3000000810978
19.5,-10.2697354631972,0.300000009301023
19.75,-10.400282031195,0.300000000813498
20,-10.5308445661818,0.299999952238306
