sig_vals,mu_vals,Eff_vals
0.05,-2.19822449366338,0.0999999686683782
0.25,-2.22208011157881,0.0999999170409269
0.5,-2.29498337208054,0.100000065138385
0.75,-2.4112395851814,0.0999999754882107
1,-2.56417843721694,0.100000068083494
1.25,-2.74679219350925,0.100000069160836
1.5,-2.95290397378453,0.0999999358949716
1.75,-3.17754931336959,0.0999999691409473
2,-3.41690080933837,0.100000004528358
2.25,-3.6680350595417,0.0999999056472936
2.5,-3.92870528281315,0.0999999485453567
2.75,-4.19718070165764,0.0999999385705333
3,-4.47210225922729,0.100000066619634
3.25,-4.7524046647038,0.100000032924285
3.5,-5.03723159933241,0.0999999026958098
3.75,-5.32588583581845,0.100000001040861
4,-5.61781233182578,0.100000040915944
4.25,-5.91254964584775,0.100000061342839
4.5,-6.209717325637,0.10000004855164
4.75,-6.5089974157365,0.100000031363879
5,-6.81012204586268,0.100000071803611
5.25,-7.11286952039197,0.100000075889766
5.5,-7.41705423379997,0.0999999002071252
5.75,-7.72249954269305,0.0999999754796713
6,-8.02907362889679,0.100000059291218
6.25,-8.3366653862942,0.0999999047603115
6.5,-8.64515213280936,0.100000019531546
6.75,-8.95445851336831,0.0999999935296555
7,-9.26449486081405,0.100000096466507
7.25,-9.5752085654141,0.0999999217121983
7.5,-9.88651655994502,0.0999999951918853
7.75,-10.198378443316,0.0999999951438309
8,-10.5107394799477,0.100000075668575
8.25,-10.8235675568545,0.100000013190989
8.5,-11.1368130390774,0.1000000557631
8.75,-11.4504488447865,0.100000059972696
9,-11.76444685451,0.0999999842772988
9.25,-12.078775712189,0.0999999086959716
9.5,-12.3934017754009,0.099999995439423
9.75,-12.7083128821476,0.100000052521451
10,-13.0234957238063,0.0999999625153695
10.25,-13.3389153130176,0.100000015926582
10.5,-13.6545655936296,0.100000027161374
10.75,-13.9704257599252,0.100000088525077
11,-14.2864917996302,0.100000040519273
11.25,-14.6027402487963,0.100000055164232
11.5,-14.9191658798836,0.100000030938299
11.75,-15.2357588445951,0.0999999569930232
12,-15.552495609833,0.10000003364665
12.25,-15.8693850386703,0.0999999970783778
12.5,-16.1864118849134,0.099999948833539
12.75,-16.5035649562492,0.0999999360651881
13,-16.8208396916493,0.0999999214139011
13.25,-17.1382256458169,0.099999954385383
13.5,-17.4557113804691,0.100000099834865
13.75,-17.7733187312966,0.100000002449329
14,-18.0910222438582,0.0999999247277561
14.25,-18.4088104076332,0.0999999451564097
14.5,-18.7266848504908,0.0999999831211762
14.75,-19.0446427939667,0.100000019053791
15,-19.362679471552,0.10000006104554
15.25,-19.6807974178924,0.10000003620193
15.5,-19.9989821401002,0.100000070455839
15.75,-20.3172475496476,0.0999999698708307
16,-20.6355577600231,0.100000097458247
16.25,-20.9539488282478,0.100000023996434
16.5,-21.272391282723,0.100000040637646
16.75,-21.5908954195161,0.100000008797846
17,-21.9094559455179,0.0999999595310533
17.25,-22.2280518165685,0.100000082906034
17.5,-22.5467086820513,0.100000093766721
17.75,-22.8654220149735,0.100000020872096
18,-23.1841844365226,0.099999920166657
18.25,-23.5029809692677,0.0999999182877386
18.5,-23.821811565324,0.0999999950702743
18.75,-24.1406900874605,0.100000002672464
19,-24.4596165476943,0.0999999291173697
19.25,-24.7785649137139,0.100000000181061
19.5,-25.097563750185,0.0999999415700236
19.75,-25.4165852559759,0.0999999921730935
20,-25.7356339860014,0.100000096847166
