sig_vals,mu_vals,Eff_vals
0.05,1.38039674298495e-07,0.500000034488382
0.25,-2.0262443638929e-07,0.499999950111562
0.5,-3.81821674103275e-07,0.499999909872531
0.75,-2.38953241599614e-08,0.49999999469363
1,5.4809042511252e-08,0.500000011324805
1.25,3.69287776850524e-07,0.500000070623066
1.5,5.07790136376479e-07,0.500000089741487
1.75,4.18684692767356e-07,0.500000068425737
2,-2.28082419144148e-07,0.499999965461962
2.25,2.14032491396182e-07,0.500000030109522
2.5,-4.63511274758473e-07,0.499999939244613
2.75,-3.08994257256622e-07,0.499999962146972
3,4.83066719564646e-07,0.500000055474924
3.25,-1.67916132637958e-07,0.499999981870241
3.5,-8.00040662248177e-07,0.499999918560885
3.75,-6.84562719075779e-07,0.499999934128195
4,-1.75297582177935e-07,0.499999984015385
4.25,-2.12041886974599e-07,0.499999981634877
4.5,-1.10171853017505e-06,0.499999909170159
4.75,-5.84750617165742e-07,0.499999954017575
5,9.5805808453541e-07,0.500000071993854
5.25,-8.85092209662898e-08,0.499999993632932
5.5,-1.25383900493791e-06,0.499999913512202
5.75,5.28287131316753e-07,0.500000034995629
6,1.17986104466931e-06,0.50000007516772
6.25,6.99633285475155e-07,0.500000042925422
6.5,-8.93604202496835e-07,0.49999994713311
6.75,1.50103807120642e-07,0.500000008573189
7,-1.75798248939741e-06,0.499999902956909
7.25,1.70062818367188e-06,0.50000009082761
7.5,-5.63232366165438e-07,0.499999970866833
7.75,-6.18506656172942e-08,0.499999996898689
8,-7.22855883675927e-07,0.49999996483258
8.25,1.65577469244368e-06,0.500000078224801
8.5,2.01744587747383e-06,0.500000092629028
8.75,-2.46143441935259e-07,0.499999989008286
9,-3.62995865203425e-07,0.499999984223007
9.25,-1.89645339681268e-07,0.499999991971976
9.5,2.3756613964976e-06,0.500000098011868
9.75,1.01808502919965e-06,0.500000040961588
10,1.34155243263767e-06,0.500000052669286
10.25,-9.67458330377114e-07,0.49999996291606
10.5,1.14217105378818e-08,0.500000000427685
10.75,-1.11622839752311e-06,0.499999959148103
11,-1.8406394745395e-07,0.499999993412666
11.25,6.50306592012399e-07,0.500000022769242
11.5,2.88488053873736e-06,0.500000098865842
11.75,-1.00525053558338e-06,0.499999966265701
12,-1.22318130477027e-06,0.499999959788469
12.25,5.82695707021527e-07,0.500000018773293
12.5,2.40564560180262e-06,0.500000075986882
12.75,-2.32954373121947e-06,0.499999927831184
13,-2.9739836839805e-06,0.499999909604577
13.25,2.32454770884796e-07,0.500000006934694
13.5,-1.19255482162257e-06,0.49999996507035
13.75,1.39312694174544e-06,0.500000040075148
14,2.33622209191009e-06,0.500000066024245
14.25,-8.38633841984122e-07,0.499999976708456
14.5,3.50514766553215e-06,0.5000000956966
14.75,-3.3445300832926e-06,0.499999910213154
15,-1.08761634724175e-06,0.499999971281611
15.25,2.23381244506423e-07,0.500000005803018
15.5,-3.77279925787564e-06,0.499999903549434
15.75,4.54621561783599e-08,0.500000001144026
16,-4.07934603893478e-07,0.499999989893001
16.25,1.05535870496604e-06,0.500000025750303
16.5,9.29415643897188e-07,0.500000022337856
16.75,-3.16741122859827e-07,0.499999992499664
17,-1.08522296293212e-06,0.49999997467587
17.25,-3.70716103496423e-06,0.499999914731856
17.5,-3.29939371258088e-06,0.499999925183481
17.75,3.04488363801035e-06,0.500000068082896
18,-1.15327312155077e-06,0.499999974567639
18.25,4.27419508269624e-06,0.500000092977468
18.5,-2.07927510270873e-07,0.499999995537457
18.75,6.67746513588671e-07,0.500000014141907
19,3.07776258505022e-06,0.50000006433263
19.25,-2.63188076474419e-06,0.499999945695542
19.5,5.07026677406756e-07,0.500000010328685
19.75,1.07554721560792e-06,0.500000021635045
20,1.71091590581375e-06,0.500000033989036
