786,741,579,26
793,736,579,34
788,737,579.5,27
786,737.5,572.5,21.5
784,739,566,24.5
788,729,570.5,27.5
789,735,576,30
788.5,736,556.5,30.5
787,726.5,565.5,25
785,727,546.5,25
784,725,541,29
784.5,722.5,549.5,28
784,724,540,31.5
780,724,541.5,31.5
781,721,528,24.5
781,707,521.5,36.5
778.5,711.5,517.5,26.5
779,708,507.5,33.5
773,698,504,36
774,696,491,20
771,692.5,490.5,28
767,688,480,31.5
764,682,481.5,40.5
763,680,462,29
757,669,461.5,28.5
758.5,675,458,31.5
756,664,439,32.5
751,658,426,27
748,659,437,24.5
742.5,646,422,25
741,639.5,413,25.5
737,633.5,411,30
738,634.5,393.5,30
731,627,392,30.5
727,615.5,368,24
722,611,364.5,30
713,605,381,28
712.5,601.5,356,25.5
708,591,357.5,33
704.5,580,350.5,29.5
700,582,350,21
697.5,574.5,343.5,23.5
696,565.5,330,34
690,563,341,35
687,555,319,28.5
681,555,329.5,27
670,539,327,25.5
669,541,319,42
662,534,301,23.5
657,527,263.5,34.5
653,516.5,289.5,26.5
646,519,282,23
649,511,299.5,32
632,502,272,27.5
637,495,242.5,21.5
625.5,492.5,268.5,30
623.5,495,266,30
615.5,478.5,249,25
614.5,474.5,242.5,23
607,475.5,231.5,28
601,466,253.5,26
596.5,467,232.5,19
598,452,242.5,30.5
589,448,194.5,24
575,451.5,211,24
574.5,442.5,216.5,22
576.5,437.5,212.5,27.5
577,425.5,193.5,25
567.5,413,214.5,28
557.5,410,233.5,32
556,419,185,28.5
552.5,417.5,156.5,29.5
544.5,408.5,189,27
541,405.5,203.5,26
529,395,179.5,30
535,401,193.5,24
530.5,389,176.5,25
527.5,399,120.5,24
527.5,379,182.5,25
520,381,151,27
