sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-0.847797601276031,0.2999999777669,0.342,399.304093567251,581,538,479,361,0.587,137.843,529.5,379.5,2,1
0.25,-0.859636686346288,0.299999974819951,0.323,413.916408668731,585,548.75,484,391.5,0.596,135.087,535,333,2,1
0.5,-0.894952810387978,0.300000056757008,0.302,401.711920529801,583.6,537,486.5,346,0.591,122.783,517,40,2,1
0.75,-0.949290013276179,0.299999998920476,0.348,398.956896551724,570.7,533,481,362,0.582,140.105,523,381.5,2,1
1,-1.01838977256094,0.300000037337227,0.333,393.321321321321,574,541,484,327,0.585,132.332,529.5,327,2,1
1.25,-1.09873152815448,0.300000024342057,0.337,399.560830860534,579,539.25,478,352.75,0.586,135.975,530,379,2,1
1.5,-1.18767804310995,0.300000038705674,0.321,408.915887850467,569,534.25,478,382.75,0.579,132.675,519.5,337.5,2,1
1.75,-1.28330752156789,0.299999962910721,0.357,414.117647058824,569.8,535.5,485,399,0.583,149.113,529.5,423.5,2,1
2,-1.38421051879729,0.300000067354884,0.347,402.305475504323,579.8,538,476,357.5,0.602,140.912,528,383,2,1
2.25,-1.48934271202609,0.300000081824624,0.339,410.536873156342,584,547,488,359.75,0.587,140.525,534.5,385,2,1
2.5,-1.59791298271366,0.299999955375408,0.337,392.362017804154,572.8,531.25,480,335,0.603,133.558,523.5,349,2,1
2.75,-1.70930968755629,0.299999937007793,0.315,412.685714285714,576,545,486,389,0.561,131.319,528,337,2,1
3,-1.82305621636334,0.299999999911628,0.328,395.829268292683,590.7,537.5,481.5,341,0.6,131.146,525,273,2,1
3.25,-1.93877630820964,0.299999973720045,0.322,405.60248447205,567.9,536,477,376,0.565,131.868,522,351,2,1
3.5,-2.05616585081437,0.299999949796739,0.33,409.284848484849,571.5,536,483.5,391,0.582,136.367,525.5,384.5,2,1
3.75,-2.17497883449711,0.29999993436098,0.363,402.776859504132,576,539.75,481,361.75,0.587,147.487,536,415.5,3,1
4,-2.29501332831435,0.2999999730163,0.361,399.293628808864,582.8,543.5,485,354.5,0.585,145.392,534.5,415.5,2,1
4.25,-2.41610507208281,0.299999908360468,0.34,395.770588235294,577.5,532.5,480,353.5,0.565,135.829,522.5,373,2,1
4.5,-2.53811362930175,0.299999907211,0.28,408.903571428571,577,543,488.5,371.5,0.569,115.94,524,25,2,1
4.75,-2.66092135027484,0.300000080490184,0.352,382.625,575,527.5,468,296.5,0.592,135.986,522,376.5,2,1
5,-2.78443544016408,0.300000080514089,0.31,412.21935483871,581,541,496,383,0.578,129.213,529,191.5,2,1
5.25,-2.90857076865722,0.300000066513082,0.317,406.829652996845,578.6,537.25,475,385.25,0.558,130.349,520,349,2,1
5.5,-3.03325841642495,0.29999992896899,0.324,380.052469135802,574,531.5,471.5,191,0.576,124.486,518,111,2,1
5.75,-3.1584315725519,0.300000035080376,0.339,414.778761061947,581,542,487,389,0.59,141.935,532,399,2,1
6,-3.28404510799207,0.299999957500414,0.342,391.818713450292,580,536,480.5,313,0.598,135.411,525,367,2,1
6.25,-3.41004762271001,0.300000041959335,0.323,389.195046439628,569.6,528.5,472,337.25,0.577,127.047,517,220.5,2,1
6.5,-3.53640406434544,0.300000046351324,0.317,404.321766561514,585.8,544.25,492,346.75,0.566,129.529,530,210,2,1
6.75,-3.66308097489039,0.299999930965875,0.33,384.578787878788,576,541,479.5,251,0.592,128.248,526,224.5,2,1
7,-3.79004135906055,0.300000035584507,0.356,411.109550561798,581.9,540.5,486,385.5,0.582,147.61,533,419.5,2,1
7.25,-3.9172657510853,0.3000000085296,0.333,402.474474474474,571,533.25,480,353.25,0.587,135.296,522.5,352.5,2,1
7.5,-4.04472605925944,0.300000071042549,0.344,408.729651162791,586,549,491.5,383,0.584,141.893,539.5,399,2,1
7.75,-4.1724068526913,0.299999980818439,0.35,376.271428571429,569,531,474.5,193,0.596,132.939,519.5,353.5,2,1
8,-4.30028477609252,0.299999958166213,0.343,410.586005830904,574,541.75,486,390.25,0.561,142.077,535,402.5,2,1
8.25,-4.42834384479429,0.299999976913374,0.377,394.588859416446,577.6,532,469,358.5,0.605,149.962,528,419,2,1
8.5,-4.5565696493528,0.300000020501446,0.326,400.343558282209,583.9,542,492.5,359,0.575,131.793,529.5,318.5,2,1
8.75,-4.68495168507043,0.299999981432632,0.341,406.023460410557,578,547,480,369.5,0.587,139.754,537.5,389,2,1
9,-4.81347369241327,0.300000032158554,0.351,418.569800569801,571.8,536.75,486,394.5,0.59,148.202,527.5,422.5,2,1
9.25,-4.94212881335158,0.300000023572744,0.339,408.563421828909,584.6,537,484,362,0.583,139.835,528.5,371,2,1
9.5,-5.07090870306127,0.299999912287133,0.366,396.103825136612,575,546,488.5,319,0.622,146.26,540.5,424,3,1
9.75,-5.19979611578108,0.300000003331891,0.355,397.822535211268,564,535.75,484,355.5,0.632,142.618,529.5,397.5,3,1
10,-5.32879335179822,0.299999931127159,0.342,375.260233918129,582.9,536,465,130,0.622,129.75,527,263,3,1
10.25,-5.45788452909551,0.29999999607161,0.364,409.53021978022,580,542,486,390,0.62,150.365,535,428,3,1
10.5,-5.58706615343553,0.300000087444248,0.309,390.744336569579,572,529.25,482,328,0.58,122.156,515.5,55.5,2,1
10.75,-5.71633801166344,0.300000018118716,0.319,381.282131661442,576.2,533,467,241.5,0.595,122.927,523.5,54.5,2,1
11,-5.84568754519523,0.300000018552642,0.334,393.311377245509,580.1,545,485,316,0.572,132.607,532,317,2,1
11.25,-5.97511486082357,0.299999926789571,0.334,390.682634730539,565.4,531,477.5,336,0.578,131.836,520,336.5,2,1
11.5,-6.10460800418385,0.299999967177115,0.313,396.709265175719,577.2,545,485,347.75,0.581,125.496,521,128,2,1
11.75,-6.23416866183651,0.299999957351271,0.377,407.023872679045,580.8,540.25,486,385.75,0.606,154.663,538,431,3,1
12,-6.36379078030844,0.299999961178717,0.348,387.163793103448,577.4,531,480.5,309.5,0.616,136.029,523,364,2,1
12.25,-6.49347001706797,0.299999997915661,0.33,386.49696969697,570.5,533,473,278,0.59,128.886,522,244,2,1
12.5,-6.62320557467771,0.299999995294342,0.323,402.201238390093,584.4,546,489,377,0.584,131.315,534,288,2,1
12.75,-6.75299364891237,0.299999974529574,0.333,395.75975975976,578,539,492,325.5,0.581,133.123,530,324,2,1
13,-6.88282971804541,0.299999980263042,0.351,402.478632478633,579,543,471,354.75,0.565,142.478,534.5,383.5,2,1
13.25,-7.01271175604773,0.299999994323372,0.328,395.533536585366,577.4,535.5,472.5,365,0.578,131.075,519.5,339,2,1
13.5,-7.14264100397635,0.29999992128184,0.343,396.612244897959,589.2,541.75,477,360.25,0.591,137.421,527,372.5,3,1
13.75,-7.27260757867516,0.29999995574795,0.366,402.155737704918,568.9,537,487.5,394,0.619,148.533,533,426,3,1
14,-7.40260951906139,0.300000087428673,0.335,412.69552238806,596,544,490,382.25,0.6,139.684,534,386.5,2,1
14.25,-7.53265519062189,0.300000060284887,0.312,411.134615384615,579.6,544,496.5,392,0.564,129.625,530.5,164,2,1
14.5,-7.66273608533792,0.300000040313672,0.356,397.713483146067,578.9,541,482,359,0.598,142.801,532,410.5,2,1
14.75,-7.79285486091869,0.299999924041843,0.363,381.757575757576,568,531,470,254.5,0.609,139.849,525.5,393,3,1
15,-7.92299943380387,0.299999956616462,0.343,398.542274052478,574,538.75,477,356.5,0.582,138.007,524.5,383.5,2,1
15.25,-8.05317521510976,0.299999973588396,0.335,409.823880597015,574,537,487,386,0.584,138.626,529.5,389,2,1
15.5,-8.18338127585228,0.299999964360126,0.344,408.706395348837,589.2,541,485.5,392.5,0.588,141.888,533,404.5,2,1
