sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,1.38039674298495e-07,0.500000034488382,0.181,67.1270718232044,191.8,87.5,31,16,0.517,13.862,26,5,2,1
0.25,-2.0262443638929e-07,0.499999950111562,0.187,58.8877005347594,150.2,80.75,27,16,0.501,12.688,25,5,2,1
0.5,-3.81821674103275e-07,0.499999909872531,0.19,58.0157894736842,159,74,28.5,16,0.505,12.714,26,6,2,1
0.75,-2.38953241599614e-08,0.49999999469363,0.19,62.1421052631579,174.5,87,28,15,0.527,13.527,25.5,6,2,1
1,5.4809042511252e-08,0.500000011324805,0.193,58.8911917098446,153.8,73.5,28,15.75,0.538,13.115,26,6,2,1
1.25,3.69287776850524e-07,0.500000070623066,0.181,61.4585635359116,161.8,78.25,32,16,0.512,12.816,29,5,2,1
1.5,5.07790136376479e-07,0.500000089741487,0.184,58.3369565217391,159.3,74.5,31,18,0.522,12.472,27,6,2,1
1.75,4.18684692767356e-07,0.500000068425737,0.168,61.1130952380952,181.7,82.5,31,16,0.487,11.973,24.5,5,1,1
2,-2.28082419144148e-07,0.499999965461962,0.204,64.8970588235294,179.2,79.5,34,17,0.517,14.888,35,6,2,1
2.25,2.14032491396182e-07,0.500000030109522,0.169,54.0710059171598,151.8,66.25,29,16,0.505,10.943,23,5,2,1
2.5,-4.63511274758473e-07,0.499999939244613,0.182,66.8351648351648,164.3,96,39,16,0.505,13.854,30,5,2,1
2.75,-3.08994257256622e-07,0.499999962146972,0.166,64.2409638554217,158,94,38,17,0.469,12.359,28,5,1,1
3,4.83066719564646e-07,0.500000055474924,0.169,60.5680473372781,154.8,84.25,36,17,0.494,12.018,28.5,5,1,1
3.25,-1.67916132637958e-07,0.499999981870241,0.176,53.9318181818182,137.5,68,28,17.5,0.487,11.137,24,5,1,1
3.5,-8.00040662248177e-07,0.499999918560885,0.176,66.5852272727273,174.3,96.5,39,19,0.51,13.473,31,5,2,1
3.75,-6.84562719075779e-07,0.499999934128195,0.205,65.4731707317073,159,96.25,38,19.75,0.529,15.068,39.5,6,2,1
4,-1.75297582177935e-07,0.499999984015385,0.167,58.2694610778443,156.8,79.75,31,16,0.482,11.419,21,5,1,1
4.25,-2.12041886974599e-07,0.499999981634877,0.165,69.630303030303,176,107.25,35,18,0.48,13.191,26,5,1,1
4.5,-1.10171853017505e-06,0.499999909170159,0.195,69.9230769230769,175,105.75,41,17.25,0.498,15.299,37,6,1,1
4.75,-5.84750617165742e-07,0.499999954017575,0.196,56.3571428571429,137.4,69,27,16,0.518,12.711,27,6,2,1
5,9.5805808453541e-07,0.500000071993854,0.163,70.6871165644172,199.2,97.5,36,20,0.52,13.318,27,5,2,1
5.25,-8.85092209662898e-08,0.499999993632932,0.18,60.1888888888889,162.5,77.5,30.5,15,0.494,12.48,26.5,5,1,1
5.5,-1.25383900493791e-06,0.499999913512202,0.174,66.7816091954023,166,101,38,17,0.493,13.363,32.5,5,1,1
5.75,5.28287131316753e-07,0.500000034995629,0.175,61.0228571428571,150,82.5,36,15,0.496,12.373,24.5,5,1,1
6,1.17986104466931e-06,0.50000007516772,0.156,59.4102564102564,167.5,77,29,13.5,0.507,11.055,18,4,2,1
6.25,6.99633285475155e-07,0.500000042925422,0.198,71.0353535353535,180.8,111,36.5,16,0.524,15.716,35.5,6,2,1
6.5,-8.93604202496835e-07,0.49999994713311,0.205,61.1756097560976,151,83,30,16,0.494,14.167,33.5,6,1,1
6.75,1.50103807120642e-07,0.500000008573189,0.182,63.5494505494505,160.2,92,36.5,19,0.504,13.257,31,5,2,1
7,-1.75798248939741e-06,0.499999902956909,0.195,63.3948717948718,172,87,36,15.25,0.507,13.981,35,5,2,1
7.25,1.70062818367188e-06,0.50000009082761,0.173,58.0115606936416,140.6,72,29,16,0.524,11.838,24,5,2,1
7.5,-5.63232366165438e-07,0.499999970866833,0.193,62.1295336787565,161,87.5,35,17.75,0.518,13.696,34.5,6,2,1
7.75,-6.18506656172942e-08,0.499999996898689,0.168,68.4285714285714,173.5,92.5,39,18,0.496,13.183,29,5,1,1
8,-7.22855883675927e-07,0.49999996483258,0.182,61.6703296703297,158,87,33,16,0.508,12.919,27,5,2,1
8.25,1.65577469244368e-06,0.500000078224801,0.179,58.4860335195531,156,72.75,32,15,0.486,12.135,27,5,1,1
8.5,2.01744587747383e-06,0.500000092629028,0.198,63.1868686868687,176.7,90,31,16,0.516,14.136,30,6,2,1
8.75,-2.46143441935259e-07,0.499999989008286,0.187,63.855614973262,171.8,85,34,16,0.491,13.596,31,5,1,1
9,-3.62995865203425e-07,0.499999984223007,0.186,64.1559139784946,157.6,92,37,17,0.494,13.618,33.5,6,1,1
9.25,-1.89645339681268e-07,0.499999991971976,0.187,64.5026737967914,172,87.75,32,16.25,0.499,13.767,29,6,1,1
9.5,2.3756613964976e-06,0.500000098011868,0.185,56.8864864864865,163,75,32,15.75,0.521,12.258,29,5.5,2,1
9.75,1.01808502919965e-06,0.500000040961588,0.156,65.3525641025641,171.7,92.5,35,16,0.484,11.934,20,4,1,1
10,1.34155243263767e-06,0.500000052669286,0.187,57.3582887700535,145.8,74.75,30,15.25,0.536,12.491,26,6,2,1
10.25,-9.67458330377114e-07,0.49999996291606,0.165,57.8242424242424,152,77.25,29,15,0.505,11.348,21,5,2,1
10.5,1.14217105378818e-08,0.500000000427685,0.177,62.8926553672316,156.8,102,33,16,0.518,12.938,25,6,2,1
10.75,-1.11622839752311e-06,0.499999959148103,0.173,61.1156069364162,156.8,77.25,34,16,0.504,12.341,27.5,5,2,1
11,-1.8406394745395e-07,0.499999993412666,0.175,63.6685714285714,174,95,36,16.25,0.495,12.896,28,5,1,1
