sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
15.25,-19.6807974178924,0.10000003620193,0.471,700.535031847134,769,753,726,698,0.661,330.955,756,723,6,1
15.5,-19.9989821401002,0.100000070455839,0.486,687.541152263374,766,746,724,690,0.668,335.1,751.5,722,7,1
15.75,-20.3172475496476,0.0999999698708307,0.469,686.537313432836,769,747,720,690.75,0.653,322.977,753,715.5,6,1
16,-20.6355577600231,0.100000097458247,0.464,700.331896551724,772,751,722,693,0.647,325.926,755,717,5,1
16.25,-20.9539488282478,0.100000023996434,0.451,692.791574279379,766,748.75,721,693,0.637,313.455,751,717,4,1
16.5,-21.272391282723,0.100000040637646,0.481,689.941787941788,768.4,748,722,696,0.666,332.864,753.5,720,7,1
16.75,-21.5908954195161,0.100000008797846,0.459,682.355119825708,771.6,750.75,724,694,0.653,314.243,754,721,5,1
17,-21.9094559455179,0.0999999595310533,0.435,701.758620689655,770,749,724,697.25,0.618,306.279,750.5,717,3,1
17.25,-22.2280518165685,0.100000082906034,0.442,692.721719457014,771,748,725,694,0.606,307.155,750,718.5,4,1
17.5,-22.5467086820513,0.100000093766721,0.451,699.337028824834,772.4,749.75,727,692.25,0.637,316.373,754,719.5,4,1
17.75,-22.8654220149735,0.100000020872096,0.453,697.823399558499,773,752.25,728,697,0.653,317.178,756,724,4,1
18,-23.1841844365226,0.099999920166657,0.477,688.431865828092,773,752,729,692.75,0.669,329.4,757,725.5,6,1
18.25,-23.5029809692677,0.0999999182877386,0.476,681.674369747899,767,746.5,721,685.5,0.668,325.426,751,719,5,1
18.5,-23.821811565324,0.0999999950702743,0.448,683.65625,768,749,725.5,697,0.642,307.294,751,720,4,1
18.75,-24.1406900874605,0.100000002672464,0.459,704.786492374728,771,749.75,725,699,0.675,324.585,755,721,5,1
19,-24.4596165476943,0.0999999291173697,0.447,696.263982102908,770.8,748.75,721,698.25,0.62,312.202,752,716,4,1
19.25,-24.7785649137139,0.100000000181061,0.46,684.241304347826,774,751,723.5,692.5,0.645,315.765,755,718,5,1
19.5,-25.097563750185,0.0999999415700236,0.468,683.702991452991,769.7,749.5,725,693.5,0.662,320.981,752,722,5.5,1
19.75,-25.4165852559759,0.0999999921730935,0.444,702.777027027027,767.1,748.5,722.5,697,0.613,312.961,750,719,3,1
20,-25.7356339860014,0.100000096847166,0.465,695.524731182796,770,749,725,696,0.67,324.455,753,721,6,1
