x_normal,Normal_pdf_mu_-1,Normal_pdf_mu_0,Normal_pdf_mu_1
-6.81,9.74083897691987e-05,9.74083897691988e-05,9.74083897691988e-05
-6.809,9.75987532441508e-05,9.75987532441506e-05,9.75987532441506e-05
-6.808,9.77894642956698e-05,9.77894642956698e-05,9.77894642956698e-05
-6.807,9.79805235074829e-05,9.79805235074829e-05,9.79805235074829e-05
-6.806,9.81719314641968e-05,9.81719314641966e-05,9.81719314641966e-05
-6.805,9.83636887512968e-05,9.83636887512968e-05,9.83636887512968e-05
-6.804,9.85557959551514e-05,9.85557959551514e-05,9.85557959551514e-05
-6.803,9.8748253663011e-05,9.87482536630111e-05,9.87482536630111e-05
-6.802,9.89410624630099e-05,9.89410624630099e-05,9.89410624630099e-05
-6.801,9.91342229441666e-05,9.91342229441666e-05,9.91342229441666e-05
-6.8,9.93277356963862e-05,9.93277356963864e-05,9.93277356963864e-05
-6.799,9.95216013104612e-05,9.9521601310461e-05,9.9521601310461e-05
-6.798,9.97158203780714e-05,9.97158203780714e-05,9.97158203780714e-05
-6.797,9.99103934917867e-05,9.99103934917869e-05,9.99103934917869e-05
-6.796,0.000100105321245068,0.000100105321245068,0.000100105321245068
-6.795,0.000100300604232266,0.000100300604232266,0.000100300604232266
-6.794,0.000100496243048627,0.000100496243048627,0.000100496243048627
-6.793,0.000100692238290289,0.000100692238290289,0.000100692238290289
-6.792,0.000100888590554286,0.000100888590554286,0.000100888590554286
-6.791,0.000101085300438548,0.000101085300438548,0.000101085300438548
-6.79,0.000101282368541903,0.000101282368541903,0.000101282368541903
-6.789,0.000101479795464077,0.000101479795464077,0.000101479795464077
-6.788,0.000101677581805696,0.000101677581805696,0.000101677581805696
-6.787,0.000101875728168288,0.000101875728168288,0.000101875728168288
-6.786,0.00010207423515428,0.00010207423515428,0.00010207423515428
-6.785,0.000102273103367005,0.000102273103367005,0.000102273103367005
-6.784,0.000102472333410699,0.000102472333410699,0.000102472333410699
-6.783,0.000102671925890504,0.000102671925890504,0.000102671925890504
-6.782,0.000102871881412469,0.000102871881412469,0.000102871881412469
-6.781,0.00010307220058355,0.00010307220058355,0.00010307220058355
-6.78,0.000103272884011613,0.000103272884011613,0.000103272884011613
-6.779,0.000103473932305432,0.000103473932305432,0.000103473932305432
-6.778,0.000103675346074696,0.000103675346074696,0.000103675346074696
-6.777,0.000103877125930002,0.000103877125930002,0.000103877125930002
-6.776,0.000104079272482865,0.000104079272482865,0.000104079272482865
-6.775,0.000104281786345711,0.000104281786345711,0.000104281786345711
-6.774,0.000104484668131884,0.000104484668131884,0.000104484668131884
-6.773,0.000104687918455646,0.000104687918455646,0.000104687918455646
-6.772,0.000104891537932175,0.000104891537932175,0.000104891537932175
-6.771,0.00010509552717757,0.00010509552717757,0.00010509552717757
-6.77,0.00010529988680885,0.00010529988680885,0.00010529988680885
-6.769,0.000105504617443956,0.000105504617443956,0.000105504617443956
-6.768,0.000105709719701753,0.000105709719701753,0.000105709719701753
-6.767,0.000105915194202028,0.000105915194202028,0.000105915194202028
-6.766,0.000106121041565496,0.000106121041565496,0.000106121041565496
-6.765,0.000106327262413795,0.000106327262413795,0.000106327262413795
-6.764,0.000106533857369495,0.000106533857369494,0.000106533857369494
-6.763,0.000106740827056091,0.000106740827056091,0.000106740827056091
-6.762,0.00010694817209801,0.00010694817209801,0.00010694817209801
-6.761,0.000107155893120611,0.000107155893120611,0.000107155893120611
-6.76,0.000107363990750184,0.000107363990750184,0.000107363990750184
-6.759,0.000107572465613952,0.000107572465613952,0.000107572465613952
-6.758,0.000107781318340075,0.000107781318340075,0.000107781318340075
-6.757,0.000107990549557648,0.000107990549557648,0.000107990549557648
-6.756,0.000108200159896701,0.000108200159896701,0.000108200159896701
-6.755,0.000108410149988207,0.000108410149988207,0.000108410149988207
-6.754,0.000108620520464074,0.000108620520464074,0.000108620520464074
-6.753,0.000108831271957153,0.000108831271957153,0.000108831271957153
-6.752,0.000109042405101237,0.000109042405101237,0.000109042405101237
-6.751,0.000109253920531061,0.000109253920531061,0.000109253920531061
-6.75,0.000109465818882306,0.000109465818882306,0.000109465818882306
-6.749,0.000109678100791596,0.000109678100791597,0.000109678100791597
-6.748,0.000109890766896505,0.000109890766896505,0.000109890766896505
-6.747,0.000110103817835552,0.000110103817835552,0.000110103817835552
-6.746,0.000110317254248206,0.000110317254248206,0.000110317254248206
-6.745,0.000110531076774887,0.000110531076774887,0.000110531076774887
-6.744,0.000110745286056966,0.000110745286056966,0.000110745286056966
-6.743,0.000110959882736766,0.000110959882736766,0.000110959882736766
-6.742,0.000111174867457566,0.000111174867457566,0.000111174867457566
-6.741,0.000111390240863598,0.000111390240863598,0.000111390240863598
-6.74,0.000111606003600051,0.000111606003600051,0.000111606003600051
-6.739,0.000111822156313072,0.000111822156313072,0.000111822156313072
-6.738,0.000112038699649766,0.000112038699649766,0.000112038699649766
-6.737,0.000112255634258199,0.000112255634258199,0.000112255634258199
-6.736,0.000112472960787396,0.000112472960787397,0.000112472960787397
-6.735,0.000112690679887348,0.000112690679887348,0.000112690679887348
-6.734,0.000112908792209006,0.000112908792209006,0.000112908792209006
-6.733,0.000113127298404287,0.000113127298404287,0.000113127298404287
-6.732,0.000113346199126075,0.000113346199126075,0.000113346199126075
-6.731,0.00011356549502822,0.00011356549502822,0.00011356549502822
-6.73,0.000113785186765541,0.000113785186765541,0.000113785186765541
-6.729,0.000114005274993827,0.000114005274993826,0.000114005274993826
-6.728,0.000114225760369836,0.000114225760369836,0.000114225760369836
-6.727,0.000114446643551301,0.000114446643551301,0.000114446643551301
-6.726,0.000114667925196927,0.000114667925196927,0.000114667925196927
-6.725,0.000114889605966393,0.000114889605966393,0.000114889605966393
-6.724,0.000115111686520354,0.000115111686520354,0.000115111686520354
-6.723,0.000115334167520441,0.000115334167520442,0.000115334167520442
-6.722,0.000115557049629267,0.000115557049629267,0.000115557049629267
-6.721,0.00011578033351042,0.00011578033351042,0.00011578033351042
-6.72,0.000116004019828471,0.000116004019828471,0.000116004019828471
-6.719,0.000116228109248973,0.000116228109248973,0.000116228109248973
-6.718,0.00011645260243846,0.00011645260243846,0.00011645260243846
-6.717,0.000116677500064453,0.000116677500064454,0.000116677500064454
-6.716,0.000116902802795459,0.000116902802795458,0.000116902802795458
-6.715,0.000117128511300967,0.000117128511300967,0.000117128511300967
-6.714,0.00011735462625146,0.00011735462625146,0.00011735462625146
-6.713,0.000117581148318407,0.000117581148318407,0.000117581148318407
-6.712,0.000117808078174269,0.000117808078174269,0.000117808078174269
-6.711,0.000118035416492497,0.000118035416492497,0.000118035416492497
-6.71,0.000118263163947536,0.000118263163947536,0.000118263163947536
-6.709,0.000118491321214827,0.000118491321214827,0.000118491321214827
-6.708,0.000118719888970803,0.000118719888970803,0.000118719888970803
-6.707,0.000118948867892897,0.000118948867892897,0.000118948867892897
-6.706,0.000119178258659538,0.000119178258659538,0.000119178258659538
-6.705,0.000119408061950155,0.000119408061950155,0.000119408061950155
-6.704,0.000119638278445178,0.000119638278445178,0.000119638278445178
-6.703,0.000119868908826037,0.000119868908826037,0.000119868908826037
-6.702,0.000120099953775166,0.000120099953775166,0.000120099953775166
-6.701,0.000120331413976005,0.000120331413976005,0.000120331413976005
-6.7,0.000120563290112997,0.000120563290112997,0.000120563290112997
-6.699,0.000120795582871592,0.000120795582871592,0.000120795582871592
-6.698,0.000121028292938248,0.000121028292938248,0.000121028292938248
-6.697,0.000121261421000435,0.000121261421000435,0.000121261421000435
-6.696,0.00012149496774663,0.00012149496774663,0.00012149496774663
-6.695,0.000121728933866323,0.000121728933866323,0.000121728933866323
-6.694,0.000121963320050017,0.000121963320050017,0.000121963320050017
-6.693,0.000122198126989231,0.000122198126989231,0.000122198126989231
-6.692,0.000122433355376495,0.000122433355376495,0.000122433355376495
-6.691,0.000122669005905361,0.000122669005905361,0.000122669005905361
-6.69,0.000122905079270397,0.000122905079270397,0.000122905079270397
-6.689,0.000123141576167188,0.000123141576167188,0.000123141576167188
-6.688,0.000123378497292344,0.000123378497292344,0.000123378497292344
-6.687,0.000123615843343494,0.000123615843343494,0.000123615843343494
-6.686,0.00012385361501929,0.00012385361501929,0.00012385361501929
-6.685,0.000124091813019409,0.00012409181301941,0.00012409181301941
-6.684,0.000124330438044556,0.000124330438044556,0.000124330438044556
-6.683,0.000124569490796458,0.000124569490796458,0.000124569490796458
-6.682,0.000124808971977874,0.000124808971977874,0.000124808971977874
-6.681,0.000125048882292593,0.000125048882292592,0.000125048882292592
-6.68,0.00012528922244543,0.00012528922244543,0.00012528922244543
-6.679,0.000125529993142238,0.000125529993142238,0.000125529993142238
-6.678,0.0001257711950899,0.0001257711950899,0.0001257711950899
-6.677,0.000126012828996334,0.000126012828996334,0.000126012828996334
-6.676,0.000126254895570493,0.000126254895570493,0.000126254895570493
-6.675,0.00012649739552237,0.00012649739552237,0.00012649739552237
-6.674,0.000126740329562994,0.000126740329562993,0.000126740329562993
-6.673,0.000126983698404433,0.000126983698404433,0.000126983698404433
-6.672,0.000127227502759799,0.000127227502759799,0.000127227502759799
-6.671,0.000127471743343245,0.000127471743343244,0.000127471743343244
-6.67,0.000127716420869965,0.000127716420869965,0.000127716420869965
-6.669,0.000127961536056202,0.000127961536056202,0.000127961536056202
-6.668,0.000128207089619243,0.000128207089619243,0.000128207089619243
-6.667,0.000128453082277422,0.000128453082277422,0.000128453082277422
-6.666,0.000128699514750123,0.000128699514750123,0.000128699514750123
-6.665,0.000128946387757779,0.000128946387757779,0.000128946387757779
-6.664,0.000129193702021875,0.000129193702021875,0.000129193702021875
-6.663,0.000129441458264948,0.000129441458264948,0.000129441458264948
-6.662,0.000129689657210589,0.00012968965721059,0.00012968965721059
-6.661,0.000129938299583447,0.000129938299583447,0.000129938299583447
-6.66,0.000130187386109221,0.000130187386109221,0.000130187386109221
-6.659,0.000130436917514675,0.000130436917514675,0.000130436917514675
-6.658,0.000130686894527627,0.000130686894527627,0.000130686894527627
-6.657,0.000130937317876958,0.000130937317876958,0.000130937317876958
-6.656,0.00013118818829261,0.00013118818829261,0.00013118818829261
-6.655,0.000131439506505588,0.000131439506505588,0.000131439506505588
-6.654,0.000131691273247961,0.000131691273247961,0.000131691273247961
-6.653,0.000131943489252864,0.000131943489252864,0.000131943489252864
-6.652,0.000132196155254499,0.000132196155254499,0.000132196155254499
-6.651,0.000132449271988136,0.000132449271988136,0.000132449271988136
-6.65,0.000132702840190114,0.000132702840190114,0.000132702840190114
-6.649,0.000132956860597845,0.000132956860597845,0.000132956860597845
-6.648,0.00013321133394981,0.00013321133394981,0.00013321133394981
-6.647,0.000133466260985567,0.000133466260985567,0.000133466260985567
-6.646,0.000133721642445745,0.000133721642445745,0.000133721642445745
-6.645,0.000133977479072052,0.000133977479072052,0.000133977479072052
-6.644,0.000134233771607272,0.000134233771607272,0.000134233771607272
-6.643,0.000134490520795269,0.000134490520795269,0.000134490520795269
-6.642,0.000134747727380986,0.000134747727380986,0.000134747727380986
-6.641,0.000135005392110447,0.000135005392110447,0.000135005392110447
-6.64,0.00013526351573076,0.000135263515730761,0.000135263515730761
-6.639,0.000135522098990117,0.000135522098990117,0.000135522098990117
-6.638,0.000135781142637793,0.000135781142637793,0.000135781142637793
-6.637,0.000136040647424153,0.000136040647424153,0.000136040647424153
-6.636,0.000136300614100648,0.000136300614100647,0.000136300614100647
-6.635,0.000136561043419818,0.000136561043419818,0.000136561043419818
-6.634,0.000136821936135295,0.000136821936135295,0.000136821936135295
-6.633,0.000137083293001803,0.000137083293001803,0.000137083293001803
-6.632,0.000137345114775158,0.000137345114775158,0.000137345114775158
-6.631,0.000137607402212271,0.000137607402212271,0.000137607402212271
-6.63,0.00013787015607115,0.000137870156071151,0.000137870156071151
-6.629,0.000138133377110901,0.000138133377110901,0.000138133377110901
-6.628,0.000138397066091724,0.000138397066091724,0.000138397066091724
-6.627,0.000138661223774926,0.000138661223774926,0.000138661223774926
-6.626,0.000138925850922909,0.000138925850922909,0.000138925850922909
-6.625,0.000139190948299181,0.000139190948299181,0.000139190948299181
-6.624,0.000139456516668354,0.000139456516668354,0.000139456516668354
-6.623,0.000139722556796144,0.000139722556796144,0.000139722556796144
-6.622,0.000139989069449375,0.000139989069449375,0.000139989069449375
-6.621,0.000140256055395977,0.000140256055395977,0.000140256055395977
-6.62,0.000140523515404993,0.000140523515404993,0.000140523515404993
-6.619,0.000140791450246573,0.000140791450246573,0.000140791450246573
-6.618,0.000141059860691981,0.000141059860691981,0.000141059860691981
-6.617,0.000141328747513593,0.000141328747513593,0.000141328747513593
-6.616,0.000141598111484903,0.000141598111484903,0.000141598111484903
-6.615,0.000141867953380517,0.000141867953380517,0.000141867953380517
-6.614,0.000142138273976161,0.000142138273976161,0.000142138273976161
-6.613,0.000142409074048679,0.000142409074048679,0.000142409074048679
-6.612,0.000142680354376035,0.000142680354376035,0.000142680354376035
-6.611,0.000142952115737316,0.000142952115737316,0.000142952115737316
-6.61,0.000143224358912731,0.00014322435891273,0.00014322435891273
-6.609,0.000143497084683611,0.000143497084683611,0.000143497084683611
-6.608,0.000143770293832416,0.000143770293832417,0.000143770293832417
