724,623,372,35
720,624,390,33
733,620.5,297.5,40.5
728,621.5,360,44
713,624,380,40
722.5,627,380,34
716,598,402,37.5
720,623.5,373,29.5
721,614.5,391,27
714.5,611.5,362,28
717,600.5,361.5,25
713.5,602.5,334.5,34
717,605,355,30
718,599,379,22
727,586.5,340,48.5
707.5,575.5,290,23
705,593,282,14
703,573,350,43
692,581.5,346.5,18
694,563,339,36.5
706,585,336,76
695,570,339,21
686,555,316,43.5
677,553.5,342,23.5
678,560.5,278,25
675,551,297.5,35.5
670,532,258,36.5
662,518,260,26
666,527.5,295.5,41
666,503,283,44.5
648.5,500,251.5,46.5
641,503,308,28.5
652,501,295.5,43
645.5,499,265.5,42.5
620,504.5,256,28.5
615,450,261.5,22.5
636,464.5,222,46
621,484,157,74
602.5,475,219.5,29
594,463,267,37
597,428,162.5,24
597,439,260.5,30
604,437,199.5,24
575.5,432,141,27
591,426.5,226,27
577,448,54,34
557,433.5,239,55.5
570,426.5,250,25
560,417.5,181,30
554.5,407,111,24.5
556,405,151.5,48
548,372,116,35
533,406.5,159.5,34
536,392.5,82,56
521,397,161.5,29
529,405,148,47
531.5,391,106,40
511,370,95.5,22.5
526,342.5,186,33
517.5,375,160,32
505,380,167,35
504.5,351,138,26
498,369.5,164,33
485,371,109,32
492.5,344,110,65
491,339.5,112,30
474,339,115.5,29.5
475,367,188,32
470,338.5,66,28
478,320,127,26.5
471.5,344,120,28
473,297,143.5,44
444,294,104,39
457,306.5,37.5,21
455,317,117.5,24
438,313.5,56,27
445,297,70,23.5
426,242,86,58.5
426.5,292,108,22
436.5,315,98,14
