789,739,576,28
792,737.5,570,30
787,738,577,29.5
788.5,738,567.5,35
789,737,572,24.5
783,732,570,27
785,735,570,31
789.5,733,574.5,30
788,726,560,33
786,730,559,27
788.5,733.5,558,31.5
784.5,725.5,559,23.5
781,721.5,553.5,30.5
781,720,544.5,33.5
782,722,550,20
781,721.5,544.5,27
778.5,715,531,29
777,714,532,38.5
774.5,708.5,524.5,32.5
778,704,525,32
775.5,704,517,30
772,703,518,24.5
774.5,700.5,499,31
771,694,511,28
767,692,492.5,34
764,688,493,23.5
763,684,497.5,25
760,684,489.5,33.5
755.5,680,492,36
756,670.5,473,29
754.5,667.5,462,24
748,669,462.5,27
752,663,455.5,37
748,664,436,23
742,652,440.5,28
745,647,424,30.5
737,643,431,25
734,647,419,24
730,645,429,32
732,642,418,27
729.5,637,425.5,25
723,626,430.5,36.5
725,627,390,36
714.5,620,395,37.5
715,621.5,389,27
712,611,389,29.5
715,614.5,387,25.5
707,599,387,23.5
704,596,389.5,32.5
701,603,349.5,23
699,594.5,359.5,24.5
694,586.5,348.5,30
693,585.5,351.5,24
685.5,574.5,314,26.5
691,568,359,42
680,575.5,344,27
680.5,572,317,32
680,565,342,29.5
668,559,310,24.5
668,560,303,29
665.5,562.5,310,26.5
666,546.5,322,35.5
659,547.5,290.5,28
656.5,533,273,25
656,524.5,245.5,31.5
653,540,298,27
649.5,523,322.5,26.5
644,524,273,25
648,526.5,266,33
630.5,525.5,283.5,27
638.5,518.5,296,33.5
634.5,499.5,231,26.5
632,508,255.5,22
626,510.5,242,31.5
625.5,493.5,272.5,23
618,497,193.5,28.5
621,472,231,21
617,491.5,211,23
621,479,247.5,26.5
614,487,139,23
604.5,484,185,26
599,475.5,167,22.5
588.5,465.5,189,28
597,472,207,22.5
592,467.5,140.5,30
597,474,182.5,22.5
592,457,193,32
583.5,467,193,29
581.5,459,153,24
584,452.5,210.5,36.5
579.5,454,216,35.5
573,454,181.5,29
571.5,443,146,22.5
566.5,438,114.5,25.5
561.5,447.5,174.5,27.5
560.5,433.5,176,27.5
569,417,139.5,34
549,407.5,128.5,42
554.5,430.5,154.5,28.5
547,408.5,164.5,28
559.5,414.5,130.5,16.5
543,400.5,128.5,30
545.5,415.5,143,37.5
533.5,406.5,149,26
542.5,412.5,97,33
534,391,126.5,24
535.5,396,153,29
530.5,385,118.5,28
537.5,380,99.5,33
505,387,111,27
507.5,355.5,128,25
510.5,389,112,27
526.5,379.5,146,24
512,378.5,146.5,31
517.5,363,108,21.5
514.5,371,81,22.5
505.5,374,109,29.5
495.5,358.5,129,30.5
502.5,326,94,35.5
504.5,357,100,23
