785,736,578,67
783,738,577,86.25
781,735,588,75
782.25,738.75,580,67.5
781,733,573,65
780,733,579,78.5
784,730,578.25,92
781.5,729.25,582.25,64.5
783,728,567,77.5
781.5,726.25,571,75.5
781,724,572,78
780,726,563.25,92.5
780,721,561.5,96
775,724.5,556.5,65
774,719.25,556,106
776,716,553,81.75
772.5,712,535,96
774,710.75,549,83
769,712,532,77
771,702.5,532.75,93
767,708,540.5,82
764,700,532,94
761,696.25,516,91
766,693,507,113
762,693,511,82.25
756.5,688.25,520.5,70
758,686,498,82.5
757,683,500,89
750,682,502.5,64.5
750,670,492,95.5
752,664.75,478,71.25
746,667,484,77.25
742,660,474.5,78.25
745.75,661,472,68
745,653,472,91.5
740.25,650,474.5,90.5
739,645,456,80.5
738,647,442,75
734,637.75,452.75,79.5
727,637,460,97
725,632,437.5,92
721.5,626.75,433,98
716,625.25,435,93
719,622.5,414,88
712,618,424.5,92
711,612,415,84.5
708,610,417.25,97
705,607,415,86.5
699,599.75,422,88.25
696.5,598,401.75,80.75
697,596,402.25,67
690.75,588.75,398,82
685,584,403.5,96
690.5,580.5,397.25,97.75
678,580.5,387.25,103.75
682,571,395,97.5
677,582,383.75,93
673,563.5,383,88.75
675,571,366,96.5
667.25,563,365,79.5
661,565,353,81
663,557.25,366.75,75
663,556,341.75,80
654.75,554,356,99
660,546,338.5,81.5
659,541,364.25,90
648,546,352.75,92
650,537,335.25,93.25
646,537,337.5,68
637,526,337,66.5
631,524.75,325,105
631,527.5,339.5,81
630.5,524.25,301,88
628.75,524,343,79.75
621,504.75,326,102.75
620.75,504.5,313,97.5
618,513,316,102
614,501.5,318.25,69
619,508.25,302,80
616,490.5,308.25,86.75
