811,816,809.5,818.5,806.5,817.5,806,797.5,808.5,811,812,801,807,802,794.5,789.5,800.5,800.5,803.5,802.5,779.5,793,786,780.5,782.5,773,760.5,774,754.5,743.5,747,732.5,717,705.5,707.5,678,657,641,646.5,592,572,537,545,472,417,401,292,73.5,137,32.5,27,16.5,14.5,7,10,7,8.5,5.5,5.5,5.5,4,4,3,4,3,3,3,2.5,2,2.5,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
813.5,811,808,821.5,816,810.5,815.5,812,818.5,785.5,813,799.5,805.5,797.5,795,809,794.5,792.5,793,795,794.5,789,789.5,773.5,780.5,765.5,760,757,766.5,743.5,738.5,722.5,722,706,685.5,668.5,644.5,643,608,602.5,598.5,537.5,517,494,447,370.5,312,111.5,101,103,16.5,18.5,9.5,12,12,4,5.5,9,4.5,5.5,5.5,5,4,3.5,4,2.5,2,2.5,3,3,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
811.5,808,804.5,818.5,817,809.5,810,809,811.5,797,806.5,816,799.5,806.5,800.5,800,796,799,792.5,787,788,778.5,784,779,749.5,770,751.5,754.5,755,744.5,728,733.5,718.5,725.5,678.5,687,658,669.5,623.5,615.5,581.5,544.5,488,458,445,357,343.5,105.5,74.5,57.5,13.5,13.5,13.5,9.5,10,9,6,5.5,4.5,4.5,5,4,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
818,805.5,819.5,814,803.5,801.5,811,819.5,813.5,802,797,819,794.5,793,800.5,791,787,795,790,783,789.5,784,774.5,781,775,773,760.5,754,745.5,738.5,739,723.5,721,702.5,697,685,646.5,639.5,636,596.5,566.5,544,536.5,467,427,398,123.5,124,43.5,50.5,33,10.5,11,12.5,8.5,6,7,5.5,6.5,6,6,4.5,4,3,2,3,3,4,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
804.5,812.5,812.5,807.5,794.5,812,818.5,804.5,818.5,815.5,793,801.5,794.5,803.5,792.5,799,803,805.5,792.5,793,781.5,787,783,775,772,756,761.5,752,756.5,734,737.5,727.5,700.5,722.5,693.5,686.5,652.5,640,627.5,602.5,572,529,485,459,429,404.5,268,135,28,33.5,39,42,18.5,12.5,10.5,7,8,4,4.5,5,4,4,5,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
822,811.5,809,812,805,816.5,807,811,808,803.5,807,803.5,811,806,802,801,800.5,790.5,784.5,800,796.5,775,776,777,765,775,751,759.5,729.5,737.5,721.5,729,710,705.5,675,681,655.5,652.5,589,616,562.5,531.5,497.5,494,410,402,303.5,128.5,42.5,74,45,12.5,22,14.5,5.5,12,8,5,5.5,6,4,3,4,4,3,3,3,2,2,2,2,2,2,2,1,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
799.5,809.5,815,821,803.5,804,818,811,802.5,806.5,806,788.5,792.5,804,799.5,798.5,803.5,795,799,791.5,790,783.5,765,779.5,763,762.5,756.5,757.5,751,741.5,742.5,724,731.5,702,709,680,663.5,638.5,644.5,594,600,554,517.5,469.5,461.5,362.5,318.5,217,78,30,8.5,15.5,11.5,8.5,13.5,9,9,5,5,5.5,4.5,4,4,3,3,2,3,2,2,3,2,2,2.5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,811.5,805.5,812,808.5,811,810.5,809.5,797.5,805,817,804.5,802,805.5,800.5,795,804.5,792.5,800.5,789.5,790,781.5,780.5,771,767,763,747.5,752.5,751.5,751,716.5,723.5,721,708,696.5,658,657.5,636,623.5,590.5,542.5,497.5,478,468.5,409.5,378,225.5,46.5,17.5,27,48.5,36.5,21,9.5,8,11,5,6,7.5,5,4.5,3,3,4.5,3,3,2,2,2.5,2.5,3,2,2,2,1,2,2,2,2,2,2,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
803.5,817.5,809,808.5,804,823.5,823,812,804.5,800.5,807.5,794,802,802,806,786,800,784,796,796.5,779,782.5,768.5,779,764,763,757.5,751.5,760.5,749.5,726,723,720.5,693.5,688.5,676.5,649,636.5,638.5,584,545,557.5,535.5,447.5,403.5,351.5,128.5,81.5,42,24,39.5,30,17.5,14.5,14.5,10.5,9,9.5,4.5,3,5,4.5,3,3,5,3,3.5,2,2,3,2,2,2,2,2,1.5,2,1,2,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
812.5,802,817,808,816.5,801.5,807,812,805,810.5,796.5,801,804,795,801,781,789,787,789,791,785,784,788.5,777,783,774,764,752.5,739.5,735.5,737,724.5,703.5,689.5,671,668,651,623,618,570,521.5,514.5,496,458.5,380,369,66.5,118,50,87,33,30.5,23,10,10,10,4,9.5,7.5,4,4,4,4,3,4,3,3,3,3.5,2,2,2,2,2,2,2,1,1.5,2,2,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807.5,814,805.5,805,807,809.5,798.5,807.5,808,801,796.5,802.5,799,803,797.5,793,795,779.5,794,786.5,783,791.5,785,769,771.5,759.5,754.5,736.5,752,733,736.5,730.5,696,700,686.5,659.5,638,632,635,623,524,533.5,498.5,455,282.5,324.5,241.5,71,90.5,84.5,16,20,23,21.5,10.5,10.5,5,8,10,4,3.5,4,4.5,4.5,4,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
