758,700,471,6
761,701.5,483,5
759,704,505.5,5
756,705,447,5
758,702.5,472,6
761,698,464,5
757,694,448,5
761,684,460.5,4
755,691,465,5
760,685,412.5,5
755,688.5,454.5,6
760,674,436.5,5
754.5,682,450,5
755,677.5,426,5
745.5,682,431.5,5
749,674,356.5,5
746,660,334.5,6
746,665,345.5,5
743,657,370.5,6
736.5,654,364.5,5
738.5,657,351.5,6
737,651,233.5,5
735,639,209,5
728,641,277,5
728,628,52.5,6
720.5,623,25,5
723,610,244,5
721,607.5,58.5,5
709.5,606,224.5,6
713,602.5,20.5,6
705,584.5,174,4
700,582,59.5,4
698.5,575.5,17,5
701.5,567,33,6
692,565,21,5
691,558,30.5,5
681,540.5,30.5,6
679.5,534,49.5,6
671,526,25,6
666,528,18.5,5
661,513,18.5,6
661,507.5,16,6
649.5,504.5,17,6
652,496,17.5,5
641.5,477,22,6
636.5,471.5,17,6
643,482.5,22.5,6
628,462.5,16,5
619,439.5,13,5
608,449.5,18,6
603,444,21,5
597,418,14,5
599,412,15,5
582.5,426.5,16.5,5
587,395.5,12.5,5
574,381,14,5
572,380.5,12,6
566.5,376,13,5
572,392.5,11,6
558,351,9,5
536,354.5,16,5
533,348.5,16,6
537.5,350,16,5
529.5,347,14,4
528,332.5,13,5
516,31.5,11,5
522.5,325,13,5.5
497,242,12.5,5
502.5,274,10,4.5
489,273.5,9,6
478,261.5,11,7
486,83,11,6
482,27,11,5
470.5,45,10,5
475,82,11,6
477.5,41.5,10,6
458.5,216.5,10,5
456,62.5,11,6
456.5,41,8,5
458,29.5,10.5,5
440.5,28,8,5
432,83.5,11,6
429,34,8,5
424,60,8,5
417,70,8,5
411.5,30,9,6
423.5,38,9,5
425,25,11,6
405.5,38,7,5
385,23,8.5,5.5
384.5,18.5,10,6
369.5,21,10,6
382.5,14,8.5,4
349.5,118.5,9,5
348,29,10,5
319,28,8,6
336.5,25,12,5
330.5,14,8,5
349,29,8,5
340,18,11,6
335.5,17,10,5
159,16,10,5
321,24,9,5
331.5,21.5,9,6
336,13,7,5.5
205.5,17.5,9,6
229,12.5,10,4
316,20,8,5
56,17,8.5,5
248.5,17,8,5
115.5,22,8,5
298.5,13,9,6
269.5,13,9,5
195,18.5,8,5
278.5,15,9,6
74,15.5,8,5
63.5,15,8,5
225,17,9,6
159,11,7,5
39,18.5,8,5
